stratum,value,total,pass,fail,unknown
metrics_group,cntvaluein3-lock-heldout-long-poll,10,6,4,0
run_group,cntvaluein3_lock_heldout_long_poll_500,4,0,4,0
run_group,cntvaluein3_lock_heldout_seed_batch,6,6,0,0
variant,cntvaluein3-skew-locked,10,6,4,0
payload_version,3,10,6,4,0
seed,1,1,1,0,0
seed,11,1,1,0,0
seed,16,1,0,1,0
seed,20,1,1,0,0
seed,23,1,0,1,0
seed,27,1,1,0,0
seed,28,1,0,1,0
seed,30,1,0,1,0
seed,5,1,1,0,0
seed,6,1,1,0,0
metric_status,fail,4,0,4,0
metric_status,pass,6,6,0,0
abort_reason_name,check_starting_data_search_exhausted,4,0,4,0
abort_reason_name,none,6,6,0,0
abort_lane,0,10,6,4,0
