feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
placement_manhattan_max__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max,reset_release,all,,,endpoint,6,4,1.0,2.0,8.0,4.0,5.0,8.0,3.0,-4.0,-7.0,0.75,fail_higher,0.75,0.5,overlap,0.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread,reset_release,all,,,endpoint,6,4,1.0,2.0,8.0,4.0,5.0,8.0,3.0,-4.0,-7.0,0.75,fail_higher,0.75,0.5,overlap,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max,clocking,all,,,endpoint,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,fail_higher,0.5,0.0,overlap,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max,dq_iologic,lane0,dq0,,endpoint,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,fail_higher,0.5,0.0,overlap,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread,dq_iologic,lane0,dq0,,endpoint,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,fail_higher,0.5,0.0,overlap,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max,dq_iologic,lane0,dq1,,endpoint,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,fail_higher,0.5,0.0,overlap,0.0
placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread,dq_iologic,lane0,dq1,,endpoint,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,fail_higher,0.5,0.0,overlap,0.0
placement_manhattan_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,placement_manhattan_max,dq_iologic,lane0,dq2,,endpoint,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,fail_higher,0.5,0.0,overlap,0.0
placement_manhattan_spread__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,placement_manhattan_spread,dq_iologic,lane0,dq2,,endpoint,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,fail_higher,0.5,0.0,overlap,0.0
placement_manhattan_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,placement_manhattan_max,dq_iologic,lane0,dq3,,endpoint,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,fail_higher,0.5,0.0,overlap,0.0
placement_manhattan_spread__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,placement_manhattan_spread,dq_iologic,lane0,dq3,,endpoint,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,fail_higher,0.5,0.0,overlap,0.0
placement_manhattan_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,placement_manhattan_max,dq_iologic,lane0,dq4,,endpoint,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,fail_higher,0.5,0.0,overlap,0.0
placement_manhattan_spread__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,placement_manhattan_spread,dq_iologic,lane0,dq4,,endpoint,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,fail_higher,0.5,0.0,overlap,0.0
placement_manhattan_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,placement_manhattan_max,dq_iologic,lane0,dq5,,endpoint,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,fail_higher,0.5,0.0,overlap,0.0
