feature_a,feature_b,n_pass,n_fail,auc_pair_score_fail_higher,auc_best,fail_minus_pass_median_score
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,6,5,1.0,1.0,958.0
direct_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_4__endpoint__value_ps,6,5,1.0,1.0,935.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_4__endpoint__value_ps,direct_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,1.0,1.0,911.0
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_4__endpoint__value_ps,6,5,1.0,1.0,896.0
lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_4__endpoint__value_ps,6,5,1.0,1.0,867.0
direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_4__endpoint__value_ps,6,5,1.0,1.0,843.0
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,6,5,1.0,1.0,827.5
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,6,5,1.0,1.0,823.5
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,1.0,1.0,788.0
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_4__endpoint__value_ps,6,5,1.0,1.0,762.0
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,6,5,1.0,1.0,743.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,6,5,1.0,1.0,663.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_4__endpoint__value_ps,direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,1.0,1.0,659.5
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,6,5,1.0,1.0,523.0
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_1__endpoint__value_ps,6,5,1.0,1.0,472.5
