feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq11,,endpoint,6,5,2009.0,2143.5,2420.0,2260.0,2476.0,2986.0,332.5,-160.0,-977.0,0.933333,fail_higher,0.933333,0.866667,overlap,0.0
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq5,,endpoint,6,5,2108.0,2272.0,2546.0,2273.0,2684.0,3339.0,412.0,-273.0,-1231.0,0.9,fail_higher,0.9,0.8,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,6,5,256.0,294.0,413.0,365.0,423.0,705.0,129.0,-48.0,-449.0,0.9,fail_higher,0.9,0.8,overlap,0.0
lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,dq_iologic,lane0,,,lane,6,5,2357.0,2463.5,2723.0,2483.0,2795.0,3447.0,331.5,-240.0,-1090.0,0.866667,fail_higher,0.866667,0.733333,overlap,0.0
direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq1,,endpoint,6,5,1891.0,2229.0,2335.0,2111.0,2795.0,3256.0,566.0,-224.0,-1365.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq2,,endpoint,6,5,1707.0,2142.5,2559.0,2019.0,2505.0,3285.0,362.5,-540.0,-1578.0,0.8,fail_higher,0.8,0.6,overlap,0.0
direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq3,,endpoint,6,5,2121.0,2419.0,2723.0,2424.0,2720.0,3249.0,301.0,-299.0,-1128.0,0.8,fail_higher,0.8,0.6,overlap,0.0
direct_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq6,,endpoint,6,5,1949.0,2075.5,2494.0,1932.0,2598.0,3368.0,522.5,-562.0,-1419.0,0.766667,fail_higher,0.766667,0.533333,overlap,0.0
direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq0,,endpoint,6,5,1937.0,2136.0,2434.0,2013.0,2352.0,3263.0,216.0,-421.0,-1326.0,0.733333,fail_higher,0.733333,0.466667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq12,0,endpoint,6,5,665.0,784.0,1656.0,865.0,944.0,1810.0,160.0,-791.0,-1145.0,0.733333,fail_higher,0.733333,0.466667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq14,0,endpoint,6,5,750.0,833.5,1575.0,864.0,972.0,1723.0,138.5,-711.0,-973.0,0.733333,fail_higher,0.733333,0.466667,overlap,0.0
direct_max__dq_iologic__lane1__dq8__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq8,,endpoint,6,5,1707.0,2333.5,3052.0,1902.0,2780.0,3477.0,446.5,-1150.0,-1770.0,0.7,fail_higher,0.7,0.4,overlap,0.0
direct_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq7,,endpoint,6,5,1945.0,2283.0,2571.0,1929.0,2589.0,3447.0,306.0,-642.0,-1502.0,0.7,fail_higher,0.7,0.4,overlap,0.0
direct_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq4,,endpoint,6,5,1809.0,1977.5,2316.0,1837.0,2211.0,3368.0,233.5,-479.0,-1559.0,0.7,fail_higher,0.7,0.4,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,0,endpoint,6,5,990.0,1435.5,1669.0,919.0,1608.0,2016.0,172.5,-750.0,-1026.0,0.7,fail_higher,0.7,0.4,overlap,0.0
