feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,2,endpoint,6,5,1286.0,1954.0,2108.0,977.0,1282.0,1914.0,-672.0,-1131.0,-628.0,0.1,fail_lower,0.9,-0.8,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,2,lane_control_bit,6,5,242.0,352.5,487.0,213.0,240.0,337.0,-112.5,-274.0,-95.0,0.133333,fail_lower,0.866667,-0.733333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,1,endpoint,6,5,617.0,820.5,1585.0,451.0,615.0,1011.0,-205.5,-1134.0,-394.0,0.166667,fail_lower,0.833333,-0.666667,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,2,endpoint,6,5,1000.0,1572.5,1845.0,843.0,1103.0,1597.0,-469.5,-1002.0,-597.0,0.2,fail_lower,0.8,-0.6,overlap,0.0
direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq6,,endpoint,6,5,1220.0,1509.5,1628.0,1151.0,1225.0,1501.0,-284.5,-477.0,-281.0,0.2,fail_lower,0.8,-0.6,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,1,endpoint,6,5,587.0,829.0,1623.0,540.0,670.0,1101.0,-159.0,-1083.0,-514.0,0.233333,fail_lower,0.766667,-0.533333,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_4__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,4,endpoint,6,5,1687.0,1823.5,1932.0,1064.0,1338.0,2194.0,-485.5,-868.0,-507.0,0.266667,fail_lower,0.733333,-0.466667,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_1__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,1,endpoint,6,5,1411.0,1715.0,2049.0,1080.0,1345.0,2289.0,-370.0,-969.0,-878.0,0.3,fail_lower,0.7,-0.4,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,2,endpoint,6,5,1065.0,1221.5,1649.0,935.0,992.0,1588.0,-229.5,-714.0,-523.0,0.3,fail_lower,0.7,-0.4,overlap,0.0
direct_max__idelay_ld__lane0__dq0__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq0,,endpoint,6,5,1123.0,1427.0,1733.0,1057.0,1266.0,1437.0,-161.0,-676.0,-314.0,0.3,fail_lower,0.7,-0.4,overlap,0.0
