feature_a,feature_b,n_pass,n_fail,auc_pair_score_fail_higher,auc_best,fail_minus_pass_median_score
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,6,4,1.0,1.0,951.5
direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,6,4,1.0,1.0,935.5
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,4,1.0,1.0,859.5
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,6,4,1.0,1.0,811.0
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,6,4,1.0,1.0,748.0
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,6,4,1.0,1.0,725.0
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,6,4,1.0,1.0,715.5
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,6,4,1.0,1.0,641.5
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,lane_spread__reset_release__all__no_bit__ctrl_none__lane__value_ps,6,4,1.0,1.0,641.5
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,6,4,1.0,1.0,632.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,6,4,1.0,1.0,582.5
direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,6,4,1.0,1.0,564.5
lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,direct_max__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,6,4,1.0,1.0,535.0
lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread__reset_release__all__no_bit__ctrl_none__lane__value_ps,6,4,1.0,1.0,535.0
direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,direct_max__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,6,4,1.0,1.0,533.5
direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,lane_spread__reset_release__all__no_bit__ctrl_none__lane__value_ps,6,4,1.0,1.0,533.5
direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_1__endpoint__value_ps,6,4,1.0,1.0,530.5
