feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq11,,endpoint,6,4,2009.0,2143.5,2420.0,2260.0,2530.5,2986.0,387.0,-160.0,-977.0,0.916667,fail_higher,0.916667,0.833333,overlap,0.0
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq5,,endpoint,6,4,2108.0,2272.0,2546.0,2273.0,2870.5,3339.0,598.5,-273.0,-1231.0,0.875,fail_higher,0.875,0.75,overlap,0.0
direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq3,,endpoint,6,4,2121.0,2419.0,2723.0,2483.0,2876.0,3249.0,457.0,-240.0,-1128.0,0.875,fail_higher,0.875,0.75,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,0,endpoint,6,4,990.0,1435.5,1669.0,1498.0,1650.0,2016.0,214.5,-171.0,-1026.0,0.875,fail_higher,0.875,0.75,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,6,4,256.0,294.0,413.0,365.0,410.5,652.0,116.5,-48.0,-396.0,0.875,fail_higher,0.875,0.75,overlap,0.0
lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,dq_iologic,lane0,,,lane,6,4,2357.0,2463.5,2723.0,2483.0,3029.5,3447.0,566.0,-240.0,-1090.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq0,,endpoint,6,4,1937.0,2136.0,2434.0,2214.0,2684.5,3263.0,548.5,-220.0,-1326.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq2,,endpoint,6,4,1707.0,2142.5,2559.0,2019.0,2850.5,3285.0,708.0,-540.0,-1578.0,0.791667,fail_higher,0.791667,0.583333,overlap,0.0
direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq1,,endpoint,6,4,1891.0,2229.0,2335.0,2111.0,2792.5,3256.0,563.5,-224.0,-1365.0,0.791667,fail_higher,0.791667,0.583333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,2,endpoint,6,4,444.0,1019.5,1197.0,963.0,1272.0,1488.0,252.5,-234.0,-1044.0,0.791667,fail_higher,0.791667,0.583333,overlap,0.0
