feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,2,endpoint,6,4,1286.0,1954.0,2108.0,977.0,1298.5,1914.0,-655.5,-1131.0,-628.0,0.125,fail_lower,0.875,-0.75,overlap,0.0
direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq6,,endpoint,6,4,1220.0,1509.5,1628.0,1151.0,1218.5,1501.0,-291.0,-477.0,-281.0,0.166667,fail_lower,0.833333,-0.666667,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,2,lane_control_bit,6,4,242.0,352.5,487.0,229.0,267.5,337.0,-85.0,-258.0,-95.0,0.166667,fail_lower,0.833333,-0.666667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,1,endpoint,6,4,617.0,820.5,1585.0,451.0,601.5,1011.0,-219.0,-1134.0,-394.0,0.208333,fail_lower,0.791667,-0.583333,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,2,endpoint,6,4,1000.0,1572.5,1845.0,843.0,1211.5,1597.0,-361.0,-1002.0,-597.0,0.25,fail_lower,0.75,-0.5,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,1,endpoint,6,4,587.0,829.0,1623.0,540.0,605.5,1101.0,-223.5,-1083.0,-514.0,0.25,fail_lower,0.75,-0.5,overlap,0.0
direct_max__idelay_ld__lane0__dq0__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq0,,endpoint,6,4,1123.0,1427.0,1733.0,1057.0,1304.5,1437.0,-122.5,-676.0,-314.0,0.291667,fail_lower,0.708333,-0.416667,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_4__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,4,endpoint,6,4,1687.0,1823.5,1932.0,1064.0,1484.0,2194.0,-339.5,-868.0,-507.0,0.333333,fail_lower,0.666667,-0.333333,overlap,0.0
direct_max__idelay_ld__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq5,,endpoint,6,4,1218.0,1373.0,1475.0,1054.0,1309.5,1439.0,-63.5,-421.0,-221.0,0.333333,fail_lower,0.666667,-0.333333,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_1__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,1,endpoint,6,4,1411.0,1715.0,2049.0,1080.0,1502.0,2289.0,-213.0,-969.0,-878.0,0.375,fail_lower,0.625,-0.25,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,2,endpoint,6,4,1139.0,1261.0,1648.0,1003.0,1198.5,1532.0,-62.5,-645.0,-393.0,0.375,fail_lower,0.625,-0.25,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,2,endpoint,6,4,1065.0,1221.5,1649.0,976.0,1168.5,1588.0,-53.0,-673.0,-523.0,0.375,fail_lower,0.625,-0.25,overlap,0.0
direct_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,clocking,all,,,endpoint,6,4,6735.0,6922.5,7065.0,6389.0,6914.5,7019.0,-8.0,-676.0,-284.0,0.375,fail_lower,0.625,-0.25,overlap,0.0
lane_spread__clocking__all__no_bit__ctrl_none__lane__value_ps,lane_spread,clocking,all,,,lane,6,4,6616.0,6803.5,6946.0,6270.0,6795.5,6900.0,-8.0,-676.0,-284.0,0.375,fail_lower,0.625,-0.25,overlap,0.0
direct_max__idelay_ld__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq1,,endpoint,6,4,1207.0,1444.5,1631.0,1143.0,1333.5,1527.0,-111.0,-488.0,-320.0,0.416667,fail_lower,0.583333,-0.166667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq2__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq2,4,endpoint,6,4,1057.0,1341.5,1945.0,796.0,1233.5,1771.0,-108.0,-1149.0,-714.0,0.416667,fail_lower,0.583333,-0.166667,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_1__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,1,endpoint,6,4,1139.0,1380.5,1735.0,802.0,1303.0,1891.0,-77.5,-933.0,-752.0,0.416667,fail_lower,0.583333,-0.166667,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane1,,4,lane_control_bit,6,4,226.0,531.0,847.0,442.0,466.0,585.0,-65.0,-405.0,-359.0,0.416667,fail_lower,0.583333,-0.166667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq2__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq2,1,endpoint,6,4,859.0,1294.5,2401.0,1136.0,1233.5,1748.0,-61.0,-1265.0,-889.0,0.416667,fail_lower,0.583333,-0.166667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq13__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq13,1,endpoint,6,4,689.0,786.5,1858.0,744.0,765.5,1241.0,-21.0,-1114.0,-552.0,0.416667,fail_lower,0.583333,-0.166667,overlap,0.0
