feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq1,,endpoint,6,1,1891.0,2229.0,2335.0,2795.0,2795.0,2795.0,566.0,460.0,-904.0,1.0,fail_higher,1.0,1.0,fail_higher,460.0
direct_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,clocking,all,,,endpoint,6,1,6735.0,6922.5,7065.0,7485.0,7485.0,7485.0,562.5,420.0,-750.0,1.0,fail_higher,1.0,1.0,fail_higher,420.0
lane_spread__clocking__all__no_bit__ctrl_none__lane__value_ps,lane_spread,clocking,all,,,lane,6,1,6616.0,6803.5,6946.0,7366.0,7366.0,7366.0,562.5,420.0,-750.0,1.0,fail_higher,1.0,1.0,fail_higher,420.0
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq5,,endpoint,6,1,2108.0,2272.0,2546.0,2684.0,2684.0,2684.0,412.0,138.0,-576.0,1.0,fail_higher,1.0,1.0,fail_higher,138.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,6,1,256.0,294.0,413.0,705.0,705.0,705.0,411.0,292.0,-449.0,1.0,fail_higher,1.0,1.0,fail_higher,292.0
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq11,,endpoint,6,1,2009.0,2143.5,2420.0,2476.0,2476.0,2476.0,332.5,56.0,-467.0,1.0,fail_higher,1.0,1.0,fail_higher,56.0
lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,dq_iologic,lane0,,,lane,6,1,2357.0,2463.5,2723.0,2795.0,2795.0,2795.0,331.5,72.0,-438.0,1.0,fail_higher,1.0,1.0,fail_higher,72.0
direct_max__idelay_ld__lane0__dqs0__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dqs0,,endpoint,6,1,1182.0,1342.5,1496.0,1524.0,1524.0,1524.0,181.5,28.0,-342.0,1.0,fail_higher,1.0,1.0,fail_higher,28.0
direct_max__idelay_data_cntvaluein__lane1__dq13__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq13,0,endpoint,6,1,703.0,842.0,1758.0,1218.0,1218.0,1218.0,376.0,-540.0,-515.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,0,endpoint,6,1,705.0,768.0,1483.0,1129.0,1129.0,1129.0,361.0,-354.0,-424.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
direct_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq6,,endpoint,6,1,1949.0,2075.5,2494.0,2303.0,2303.0,2303.0,227.5,-191.0,-354.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
direct_max__dqs_iologic__lane0__dqs0__ctrl_none__endpoint__value_ps,direct_max,dqs_iologic,lane0,dqs0,,endpoint,6,1,2775.0,3630.0,3900.0,3855.0,3855.0,3855.0,225.0,-45.0,-1080.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
lane_spread__dqs_iologic__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,dqs_iologic,lane0,,,lane,6,1,2775.0,3630.0,3900.0,3855.0,3855.0,3855.0,225.0,-45.0,-1080.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
direct_max__dqs_iologic__lane1__dqs1__ctrl_none__endpoint__value_ps,direct_max,dqs_iologic,lane1,dqs1,,endpoint,6,1,2355.0,3240.0,3630.0,3464.0,3464.0,3464.0,224.0,-166.0,-1109.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
lane_spread__dqs_iologic__lane1__no_bit__ctrl_none__lane__value_ps,lane_spread,dqs_iologic,lane1,,,lane,6,1,2355.0,3240.0,3630.0,3464.0,3464.0,3464.0,224.0,-166.0,-1109.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
lane_spread__idelay_ld__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_ld,lane0,,,lane,6,1,176.0,257.5,505.0,365.0,365.0,365.0,107.5,-140.0,-189.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq2,,endpoint,6,1,1707.0,2142.5,2559.0,2209.0,2209.0,2209.0,66.5,-350.0,-502.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
direct_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq4,,endpoint,6,1,1809.0,1977.5,2316.0,2198.0,2198.0,2198.0,220.5,-118.0,-389.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,0,endpoint,6,1,711.0,919.5,1634.0,1042.0,1042.0,1042.0,122.5,-592.0,-331.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
