feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,4,endpoint,6,1,663.0,1359.5,1580.0,532.0,532.0,532.0,-827.5,-1048.0,131.0,0.0,fail_lower,1.0,-1.0,fail_lower,131.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,2,endpoint,6,1,1286.0,1954.0,2108.0,1282.0,1282.0,1282.0,-672.0,-826.0,4.0,0.0,fail_lower,1.0,-1.0,fail_lower,4.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_2__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,2,endpoint,6,1,1000.0,1572.5,1845.0,940.0,940.0,940.0,-632.5,-905.0,60.0,0.0,fail_lower,1.0,-1.0,fail_lower,60.0
direct_max__idelay_ld__lane1__dqs1__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dqs1,,endpoint,6,1,902.0,1452.5,1628.0,851.0,851.0,851.0,-601.5,-777.0,51.0,0.0,fail_lower,1.0,-1.0,fail_lower,51.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_0__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,0,endpoint,6,1,1054.0,1212.5,1391.0,617.0,617.0,617.0,-595.5,-774.0,437.0,0.0,fail_lower,1.0,-1.0,fail_lower,437.0
direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq1,,endpoint,6,1,1891.0,2229.0,2335.0,2795.0,2795.0,2795.0,566.0,460.0,-904.0,1.0,fail_higher,1.0,1.0,fail_higher,460.0
direct_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,clocking,all,,,endpoint,6,1,6735.0,6922.5,7065.0,7485.0,7485.0,7485.0,562.5,420.0,-750.0,1.0,fail_higher,1.0,1.0,fail_higher,420.0
lane_spread__clocking__all__no_bit__ctrl_none__lane__value_ps,lane_spread,clocking,all,,,lane,6,1,6616.0,6803.5,6946.0,7366.0,7366.0,7366.0,562.5,420.0,-750.0,1.0,fail_higher,1.0,1.0,fail_higher,420.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,0,endpoint,6,1,990.0,1435.5,1669.0,919.0,919.0,919.0,-516.5,-750.0,71.0,0.0,fail_lower,1.0,-1.0,fail_lower,71.0
direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq1,4,endpoint,6,1,962.0,1277.5,1774.0,788.0,788.0,788.0,-489.5,-986.0,174.0,0.0,fail_lower,1.0,-1.0,fail_lower,174.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_4__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,4,endpoint,6,1,1687.0,1823.5,1932.0,1338.0,1338.0,1338.0,-485.5,-594.0,349.0,0.0,fail_lower,1.0,-1.0,fail_lower,349.0
direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,0,endpoint,6,1,893.0,1325.0,1942.0,853.0,853.0,853.0,-472.0,-1089.0,40.0,0.0,fail_lower,1.0,-1.0,fail_lower,40.0
direct_max__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq10,,endpoint,6,1,1868.0,2068.5,2598.0,1636.0,1636.0,1636.0,-432.5,-962.0,232.0,0.0,fail_lower,1.0,-1.0,fail_lower,232.0
