feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_0__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,0,dq_lane,6,5,256.0,294.0,413.0,365.0,423.0,705.0,129.0,-48.0,-449.0,0.9,fail_higher,0.9,0.8,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,0,ld_vs_cntvaluein_dqs,6,5,26.0,196.0,389.0,165.0,421.0,633.0,225.0,-224.0,-607.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,6,5,-451.0,-391.5,-268.0,-420.0,-184.0,-15.0,207.5,-152.0,-436.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,4,ld_vs_cntvaluein_dqs,6,5,-750.0,-428.5,-321.0,-1135.0,174.0,311.0,602.5,-814.0,-1061.0,0.8,fail_higher,0.8,0.6,overlap,0.0
signed_ld_dqs_minus_dq_median__idelay_ld_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_lane__value_ps,signed_ld_dqs_minus_dq_median,idelay_ld_skew,lane0,dqs0,,dqs_vs_dq_lane,6,5,-220.0,-103.5,117.5,-88.5,81.0,187.5,184.5,-206.0,-407.5,0.8,fail_higher,0.8,0.6,overlap,0.0
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,6,5,-581.5,-315.5,-256.0,-378.0,-194.0,-170.0,121.5,-122.0,-411.5,0.8,fail_higher,0.8,0.6,overlap,0.0
abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dqs,6,5,97.0,256.0,342.0,276.0,302.0,671.0,46.0,-66.0,-574.0,0.783333,fail_higher,0.783333,0.566667,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_2__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,2,ld_vs_cntvaluein_dqs,6,5,-763.0,-553.5,26.0,-855.0,242.0,382.0,795.5,-881.0,-1145.0,0.766667,fail_higher,0.766667,0.533333,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_2__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,2,ld_vs_cntvaluein_dqs,6,5,-461.0,-55.0,333.0,-89.0,198.0,469.0,253.0,-422.0,-930.0,0.766667,fail_higher,0.766667,0.533333,overlap,0.0
abs_ld_dqs_minus_dq_median__idelay_ld_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,abs_ld_dqs_minus_dq_median,idelay_ld_skew,lane1,dqs1,,dqs_vs_dq_lane,6,5,48.0,76.75,249.0,62.5,158.5,239.5,81.75,-186.5,-191.5,0.766667,fail_higher,0.766667,0.533333,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_1__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,1,ld_vs_cntvaluein_dqs,6,5,-867.0,-321.5,-32.0,-1230.0,91.0,253.0,412.5,-1198.0,-1120.0,0.733333,fail_higher,0.733333,0.466667,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,dqs_vs_dq_bit,6,5,-472.0,51.0,648.0,46.0,153.0,446.0,102.0,-602.0,-918.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,0,dqs_vs_dq_lane,6,5,-503.5,94.75,645.0,29.0,184.5,444.0,89.75,-616.0,-947.5,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dq,6,5,-562.5,-374.5,20.5,-386.0,-343.5,-125.5,31.0,-406.5,-437.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
abs_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dq__value_ps,abs_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dq,6,5,83.5,362.25,498.0,277.5,376.0,591.5,13.75,-220.5,-508.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dqs,6,5,-450.0,-292.5,-205.0,-342.0,-281.0,107.0,11.5,-137.0,-557.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,0,dqs_vs_dq_bit,6,5,-535.0,95.0,620.0,-33.0,247.0,536.0,152.0,-653.0,-1071.0,0.633333,fail_higher,0.633333,0.266667,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,2,ld_vs_cntvaluein_dq_lane,6,5,24.5,176.0,318.0,66.0,283.5,313.5,107.5,-252.0,-289.0,0.633333,fail_higher,0.633333,0.266667,overlap,0.0
