feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,2,dqs_vs_dq_bit,6,5,377.0,830.5,1059.0,-76.0,136.0,708.0,-694.5,-1135.0,-331.0,0.066667,fail_lower,0.933333,-0.866667,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,2,dqs_vs_dq_bit,6,5,377.0,830.5,1059.0,76.0,136.0,708.0,-694.5,-983.0,-331.0,0.066667,fail_lower,0.933333,-0.866667,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,2,dqs_vs_dq_bit,6,5,182.0,607.0,932.0,140.0,181.0,285.0,-426.0,-792.0,-103.0,0.066667,fail_lower,0.933333,-0.866667,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,dqs_vs_dq_bit,6,5,301.0,664.5,768.0,-359.0,146.0,500.0,-518.5,-1127.0,-199.0,0.1,fail_lower,0.9,-0.8,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,4,dqs_vs_dq_bit,6,5,227.0,718.0,1036.0,100.0,216.0,599.0,-502.0,-936.0,-372.0,0.1,fail_lower,0.9,-0.8,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,2,dqs_vs_dq_bit,6,5,-11.0,673.0,916.0,-117.0,224.0,308.0,-449.0,-1033.0,-319.0,0.1,fail_lower,0.9,-0.8,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,2,dqs_vs_dq_bit,6,5,-98.0,631.0,831.0,-194.0,182.0,383.0,-449.0,-1025.0,-481.0,0.1,fail_lower,0.9,-0.8,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,2,dqs_vs_dq_bit,6,5,378.0,661.0,1071.0,-262.0,261.0,536.0,-400.0,-1333.0,-158.0,0.1,fail_lower,0.9,-0.8,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,2,dqs_vs_dq_bit,6,5,378.0,661.0,1071.0,24.0,262.0,536.0,-399.0,-1047.0,-158.0,0.1,fail_lower,0.9,-0.8,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,2,dqs_vs_dq_bit,6,5,83.0,553.0,909.0,-412.0,228.0,416.0,-325.0,-1321.0,-333.0,0.1,fail_lower,0.9,-0.8,overlap,0.0
