feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,6,4,-581.5,-315.5,-256.0,-288.5,-186.75,-170.0,128.75,-32.5,-411.5,0.916667,fail_higher,0.916667,0.833333,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_2__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,2,ld_vs_cntvaluein_dqs,6,4,-461.0,-55.0,333.0,118.0,220.0,469.0,275.0,-215.0,-930.0,0.875,fail_higher,0.875,0.75,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_0__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,0,dq_lane,6,4,256.0,294.0,413.0,365.0,410.5,652.0,116.5,-48.0,-396.0,0.875,fail_higher,0.875,0.75,overlap,0.0
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,6,4,-451.0,-391.5,-268.0,-420.0,-243.5,-15.0,148.0,-152.0,-436.0,0.791667,fail_higher,0.791667,0.583333,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,0,ld_vs_cntvaluein_dqs,6,4,26.0,196.0,389.0,165.0,327.0,633.0,131.0,-224.0,-607.0,0.791667,fail_higher,0.791667,0.583333,overlap,0.0
abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dqs,6,4,97.0,256.0,342.0,276.0,346.5,671.0,90.5,-66.0,-574.0,0.770833,fail_higher,0.770833,0.541667,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,4,ld_vs_cntvaluein_dqs,6,4,-750.0,-428.5,-321.0,-1135.0,-20.0,311.0,408.5,-814.0,-1061.0,0.75,fail_higher,0.75,0.5,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,4,ld_vs_cntvaluein_dqs,6,4,-532.0,-20.0,227.0,-59.0,173.0,299.0,193.0,-286.0,-831.0,0.75,fail_higher,0.75,0.5,overlap,0.0
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,0,dqs_vs_dq_lane,6,4,-503.5,94.75,645.0,117.0,271.25,444.0,176.5,-528.0,-947.5,0.75,fail_higher,0.75,0.5,overlap,0.0
signed_ld_dqs_minus_dq_median__idelay_ld_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_lane__value_ps,signed_ld_dqs_minus_dq_median,idelay_ld_skew,lane0,dqs0,,dqs_vs_dq_lane,6,4,-220.0,-103.5,117.5,-88.5,37.0,101.0,140.5,-206.0,-321.0,0.75,fail_higher,0.75,0.5,overlap,0.0
