feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,4,dqs_vs_dq_bit,6,4,490.0,601.5,834.0,115.0,328.5,449.0,-273.0,-719.0,41.0,0.0,fail_lower,1.0,-1.0,fail_lower,41.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,2,dqs_vs_dq_bit,6,4,182.0,607.0,932.0,140.0,174.5,285.0,-432.5,-792.0,-103.0,0.041667,fail_lower,0.958333,-0.916667,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,2,dqs_vs_dq_bit,6,4,377.0,830.5,1059.0,-76.0,132.5,708.0,-698.0,-1135.0,-331.0,0.083333,fail_lower,0.916667,-0.833333,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,2,dqs_vs_dq_bit,6,4,377.0,830.5,1059.0,76.0,132.5,708.0,-698.0,-983.0,-331.0,0.083333,fail_lower,0.916667,-0.833333,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,2,dqs_vs_dq_bit,6,4,-11.0,673.0,916.0,-117.0,111.5,308.0,-561.5,-1033.0,-319.0,0.083333,fail_lower,0.916667,-0.833333,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,2,dqs_vs_dq_bit,6,4,-98.0,631.0,831.0,-194.0,80.0,383.0,-551.0,-1025.0,-481.0,0.083333,fail_lower,0.916667,-0.833333,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,4,dqs_vs_dq_bit,6,4,227.0,718.0,1036.0,100.0,176.5,599.0,-541.5,-936.0,-372.0,0.083333,fail_lower,0.916667,-0.833333,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,2,dqs_vs_dq_bit,6,4,83.0,553.0,909.0,-412.0,92.5,416.0,-460.5,-1321.0,-333.0,0.083333,fail_lower,0.916667,-0.833333,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,4,dqs_vs_dq_bit,6,4,409.0,688.5,922.0,201.0,400.0,537.0,-288.5,-721.0,-128.0,0.083333,fail_lower,0.916667,-0.833333,overlap,0.0
abs_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,abs_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,6,4,256.0,315.5,581.5,170.0,186.75,288.5,-128.75,-411.5,-32.5,0.083333,fail_lower,0.916667,-0.833333,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,2,dqs_vs_dq_bit,6,4,-182.0,607.0,932.0,-285.0,-14.0,181.0,-621.0,-1217.0,-363.0,0.125,fail_lower,0.875,-0.75,overlap,0.0
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_2__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,2,dqs_vs_dq_lane,6,4,157.0,731.25,900.5,-66.0,139.25,531.5,-592.0,-966.5,-374.5,0.125,fail_lower,0.875,-0.75,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_2__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,2,dqs_vs_dq_lane,6,4,157.0,731.25,900.5,4.0,174.25,531.5,-557.0,-896.5,-374.5,0.125,fail_lower,0.875,-0.75,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,2,dqs_vs_dq_bit,6,4,352.0,686.0,957.0,-20.0,144.0,699.0,-542.0,-977.0,-347.0,0.125,fail_lower,0.875,-0.75,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,2,dqs_vs_dq_bit,6,4,352.0,686.0,957.0,20.0,144.0,699.0,-542.0,-937.0,-347.0,0.125,fail_lower,0.875,-0.75,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,dqs_vs_dq_bit,6,4,301.0,664.5,768.0,-359.0,124.0,500.0,-540.5,-1127.0,-199.0,0.125,fail_lower,0.875,-0.75,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,2,dqs_vs_dq_bit,6,4,-14.0,650.5,836.0,-104.0,195.0,390.0,-455.5,-940.0,-404.0,0.125,fail_lower,0.875,-0.75,overlap,0.0
