feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_2__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,2,ld_vs_cntvaluein_dqs,6,1,-763.0,-553.5,26.0,242.0,242.0,242.0,795.5,216.0,-1005.0,1.0,fail_higher,1.0,1.0,fail_higher,216.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,0,ld_vs_cntvaluein_dqs,6,1,-229.0,-141.5,389.0,605.0,605.0,605.0,746.5,216.0,-834.0,1.0,fail_higher,1.0,1.0,fail_higher,216.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,4,ld_vs_cntvaluein_dqs,6,1,-750.0,-428.5,-321.0,186.0,186.0,186.0,614.5,507.0,-936.0,1.0,fail_higher,1.0,1.0,fail_higher,507.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_1__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,1,ld_vs_cntvaluein_dqs,6,1,-867.0,-321.5,-32.0,179.0,179.0,179.0,500.5,211.0,-1046.0,1.0,fail_higher,1.0,1.0,fail_higher,211.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_0__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,0,dq_lane,6,1,256.0,294.0,413.0,705.0,705.0,705.0,411.0,292.0,-449.0,1.0,fail_higher,1.0,1.0,fail_higher,292.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,0,ld_vs_cntvaluein_dqs,6,1,26.0,196.0,389.0,605.0,605.0,605.0,409.0,216.0,-579.0,1.0,fail_higher,1.0,1.0,fail_higher,216.0
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dq,6,1,-554.5,-281.0,-95.5,19.0,19.0,19.0,300.0,114.5,-573.5,1.0,fail_higher,1.0,1.0,fail_higher,114.5
signed_ld_dqs_minus_dq_median__idelay_ld_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_lane__value_ps,signed_ld_dqs_minus_dq_median,idelay_ld_skew,lane0,dqs0,,dqs_vs_dq_lane,6,1,-220.0,-103.5,117.5,187.5,187.5,187.5,291.0,70.0,-407.5,1.0,fail_higher,1.0,1.0,fail_higher,70.0
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,6,1,-451.0,-391.5,-268.0,-184.0,-184.0,-184.0,207.5,84.0,-267.0,1.0,fail_higher,1.0,1.0,fail_higher,84.0
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,0,ld_vs_cntvaluein_dq_lane,6,1,-393.5,239.25,421.0,446.5,446.5,446.5,207.25,25.5,-840.0,1.0,fail_higher,1.0,1.0,fail_higher,25.5
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,dqs_vs_dq_bit,6,1,125.0,400.0,563.0,601.0,601.0,601.0,201.0,38.0,-476.0,1.0,fail_higher,1.0,1.0,fail_higher,38.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,0,ld_vs_cntvaluein_dq_lane,6,1,127.0,303.5,421.0,446.5,446.5,446.5,143.0,25.5,-319.5,1.0,fail_higher,1.0,1.0,fail_higher,25.5
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_4__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,4,ld_vs_cntvaluein_dq_lane,6,1,-389.0,27.25,620.0,412.0,412.0,412.0,384.75,-208.0,-801.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
signed_dqs_minus_dq_median__iologic_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,iologic_skew,lane1,dqs1,,dqs_vs_dq_lane,6,1,244.0,1088.5,1449.0,1322.5,1322.5,1322.5,234.0,-126.5,-1078.5,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
abs_dqs_minus_dq_median__iologic_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,iologic_skew,lane1,dqs1,,dqs_vs_dq_lane,6,1,244.0,1088.5,1449.0,1322.5,1322.5,1322.5,234.0,-126.5,-1078.5,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
dq_lane_range__iologic_skew__lane0__no_bit__ctrl_none__dq_lane__value_ps,dq_lane_range,iologic_skew,lane0,,,dq_lane,6,1,466.0,583.0,790.0,782.0,782.0,782.0,199.0,-8.0,-316.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_4__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,4,ld_vs_cntvaluein_dq_lane,6,1,-55.5,290.75,648.0,471.0,471.0,471.0,180.25,-177.0,-526.5,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_4__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,4,ld_vs_cntvaluein_dq_lane,6,1,55.5,290.75,648.0,471.0,471.0,471.0,180.25,-177.0,-415.5,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,4,ld_vs_cntvaluein_dqs,6,1,64.0,173.5,532.0,303.0,303.0,303.0,129.5,-229.0,-239.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,2,ld_vs_cntvaluein_dq_lane,6,1,24.5,176.0,318.0,299.0,299.0,299.0,123.0,-19.0,-274.5,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,2,ld_vs_cntvaluein_dq_lane,6,1,24.5,176.0,318.0,299.0,299.0,299.0,123.0,-19.0,-274.5,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_4__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,4,ld_vs_cntvaluein_dq_lane,6,1,174.0,301.75,620.0,412.0,412.0,412.0,110.25,-208.0,-238.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
abs_ld_dqs_minus_dq_median__idelay_ld_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,abs_ld_dqs_minus_dq_median,idelay_ld_skew,lane1,dqs1,,dqs_vs_dq_lane,6,1,48.0,76.75,249.0,179.5,179.5,179.5,102.75,-69.5,-131.5,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,4,dqs_vs_dq_bit,6,1,-355.0,609.5,825.0,703.0,703.0,703.0,93.5,-122.0,-1058.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,4,dqs_vs_dq_bit,6,1,355.0,609.5,825.0,703.0,703.0,703.0,93.5,-122.0,-348.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
abs_ld_dqs_minus_dq_median__idelay_ld_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_lane__value_ps,abs_ld_dqs_minus_dq_median,idelay_ld_skew,lane0,dqs0,,dqs_vs_dq_lane,6,1,1.5,112.25,220.0,187.5,187.5,187.5,75.25,-32.5,-186.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dqs,6,1,97.0,256.0,342.0,302.0,302.0,302.0,46.0,-40.0,-205.0,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
abs_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dq__value_ps,abs_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dq,6,1,83.5,362.25,498.0,376.0,376.0,376.0,13.75,-122.0,-292.5,0.833333,fail_higher,0.833333,0.666667,overlap,0.0
abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dqs,6,1,72.0,275.0,523.0,314.0,314.0,314.0,39.0,-209.0,-242.0,0.75,fail_higher,0.75,0.5,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,4,dqs_vs_dq_bit,6,1,-245.0,155.5,825.0,622.0,622.0,622.0,466.5,-203.0,-867.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,4,dqs_vs_dq_bit,6,1,51.0,252.5,825.0,622.0,622.0,622.0,369.5,-203.0,-571.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
signed_dqs_minus_dq_median__iologic_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,iologic_skew,lane0,dqs0,,dqs_vs_dq_lane,6,1,775.5,1305.75,1727.5,1555.5,1555.5,1555.5,249.75,-172.0,-780.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
abs_dqs_minus_dq_median__iologic_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,iologic_skew,lane0,dqs0,,dqs_vs_dq_lane,6,1,775.5,1305.75,1727.5,1555.5,1555.5,1555.5,249.75,-172.0,-780.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,dqs_vs_dq_bit,6,1,41.0,318.0,651.0,512.0,512.0,512.0,194.0,-139.0,-471.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_4__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,4,dqs_vs_dq_lane,6,1,-222.5,466.5,800.0,594.5,594.5,594.5,128.0,-205.5,-817.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_4__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,4,dqs_vs_dq_lane,6,1,222.5,466.5,800.0,594.5,594.5,594.5,128.0,-205.5,-372.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,0,dqs_vs_dq_bit,6,1,159.0,302.0,511.0,425.0,425.0,425.0,123.0,-86.0,-266.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
ld_dq_lane_range__idelay_ld_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,ld_dq_lane_range,idelay_ld_skew,lane1,,,dq_lane,6,1,273.0,291.0,535.0,355.0,355.0,355.0,64.0,-180.0,-82.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,0,dqs_vs_dq_bit,6,1,133.0,273.5,599.0,336.0,336.0,336.0,62.5,-263.0,-203.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
abs_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,abs_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,6,1,256.0,315.5,581.5,378.0,378.0,378.0,62.5,-203.5,-122.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,2,dq_lane,6,1,177.0,300.5,658.0,356.0,356.0,356.0,55.5,-302.0,-179.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dqs,6,1,205.0,292.5,450.0,342.0,342.0,342.0,49.5,-108.0,-137.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
ld_dq_lane_range__idelay_ld_skew__lane0__no_bit__ctrl_none__dq_lane__value_ps,ld_dq_lane_range,idelay_ld_skew,lane0,,,dq_lane,6,1,141.0,230.5,505.0,271.0,271.0,271.0,40.5,-234.0,-130.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,0,dqs_vs_dq_bit,6,1,-535.0,95.0,620.0,131.0,131.0,131.0,36.0,-489.0,-666.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,4,dq_lane,6,1,226.0,531.0,847.0,549.0,549.0,549.0,18.0,-298.0,-323.0,0.666667,fail_higher,0.666667,0.333333,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,1,dqs_vs_dq_bit,6,1,-931.0,411.5,1048.0,227.0,227.0,227.0,-184.5,-821.0,-1158.0,0.5,fail_higher,0.5,0.0,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,1,dqs_vs_dq_bit,6,1,-838.0,504.5,861.0,321.0,321.0,321.0,-183.5,-540.0,-1159.0,0.5,fail_higher,0.5,0.0,overlap,0.0
