feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,dqs_vs_dq_bit,6,1,-385.0,316.0,563.0,-601.0,-601.0,-601.0,-917.0,-1164.0,216.0,0.0,fail_lower,1.0,-1.0,fail_lower,216.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,dqs_vs_dq_bit,6,1,-110.0,318.0,651.0,-512.0,-512.0,-512.0,-830.0,-1163.0,402.0,0.0,fail_lower,1.0,-1.0,fail_lower,402.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_2__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,2,ld_vs_cntvaluein_dqs,6,1,-763.0,-553.5,26.0,242.0,242.0,242.0,795.5,216.0,-1005.0,1.0,fail_higher,1.0,1.0,fail_higher,216.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,0,ld_vs_cntvaluein_dqs,6,1,-229.0,-141.5,389.0,605.0,605.0,605.0,746.5,216.0,-834.0,1.0,fail_higher,1.0,1.0,fail_higher,216.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,0,dqs_vs_dq_bit,6,1,-261.0,251.0,511.0,-425.0,-425.0,-425.0,-676.0,-936.0,164.0,0.0,fail_lower,1.0,-1.0,fail_lower,164.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,4,ld_vs_cntvaluein_dqs,6,1,-750.0,-428.5,-321.0,186.0,186.0,186.0,614.5,507.0,-936.0,1.0,fail_higher,1.0,1.0,fail_higher,507.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,0,dqs_vs_dq_bit,6,1,-202.0,273.5,599.0,-336.0,-336.0,-336.0,-609.5,-935.0,134.0,0.0,fail_lower,1.0,-1.0,fail_lower,134.0
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,0,dqs_vs_dq_lane,6,1,-232.5,290.0,628.0,-292.0,-292.0,-292.0,-582.0,-920.0,59.5,0.0,fail_lower,1.0,-1.0,fail_lower,59.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,2,dqs_vs_dq_bit,6,1,377.0,830.5,1059.0,297.0,297.0,297.0,-533.5,-762.0,80.0,0.0,fail_lower,1.0,-1.0,fail_lower,80.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,2,dqs_vs_dq_bit,6,1,377.0,830.5,1059.0,297.0,297.0,297.0,-533.5,-762.0,80.0,0.0,fail_lower,1.0,-1.0,fail_lower,80.0
