seed,hardware_transition,features,sign_flip_count,abs_improved_count,abs_worsened_count,median_delta_abs_ps,transition_row_count_check
1,pass_to_pass,124,63,33,91,170.5,pass_to_pass:124
2,fail_to_pass,124,62,63,59,-14.25,fail_to_pass:124
3,pass_to_pass,124,87,34,90,281.5,pass_to_pass:124
5,pass_to_pass,124,80,30,94,293,pass_to_pass:124
6,fail_to_pass,124,53,58,66,43.5,fail_to_pass:124
11,fail_to_pass,124,52,35,89,145,fail_to_pass:124
12,fail_to_fail,124,68,51,73,62.75,fail_to_fail:124
16,fail_to_fail,124,51,71,52,-61,fail_to_fail:124
20,fail_to_pass,124,88,52,72,28.75,fail_to_pass:124
23,fail_to_fail,124,52,62,62,-4.5,fail_to_fail:124
27,fail_to_pass,124,42,47,77,129,fail_to_pass:124
28,pass_to_fail,124,87,33,91,236.5,pass_to_fail:124
30,pass_to_fail,124,65,67,57,-22.5,pass_to_fail:124
