feature,metric,family,lane,bit,control_bit,scope,n_total,sign_flip_total,abs_improved_total,abs_worsened_total,fail_to_pass_n,fail_to_pass_median_delta_ps,fail_to_pass_median_delta_abs_ps,fail_to_pass_sign_flip_count,fail_to_pass_abs_improved_count,fail_to_pass_abs_worsened_count,fail_to_fail_n,fail_to_fail_median_delta_ps,fail_to_fail_median_delta_abs_ps,fail_to_fail_sign_flip_count,fail_to_fail_abs_improved_count,fail_to_fail_abs_worsened_count,pass_to_fail_n,pass_to_fail_median_delta_ps,pass_to_fail_median_delta_abs_ps,pass_to_fail_sign_flip_count,pass_to_fail_abs_improved_count,pass_to_fail_abs_worsened_count,pass_to_pass_n,pass_to_pass_median_delta_ps,pass_to_pass_median_delta_abs_ps,pass_to_pass_sign_flip_count,pass_to_pass_abs_improved_count,pass_to_pass_abs_worsened_count,passfail_minus_failpass_median_delta_ps,passfail_minus_failpass_sign_flip_rate,contrast_score
signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,13,9,4,9,5,-358.5,135,3,2,3,3,-759,91,2,1,2,2,608,16,2,1,1,3,-740.5,403.5,2,0,3,966.5,0.4,1006.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,4,dqs_vs_dq_bit,13,8,2,11,5,771,334,4,0,5,3,113,113,0,1,2,2,-204,-30,2,1,1,3,530,406,2,0,3,-975,0.2,995
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_1__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,1,ld_vs_cntvaluein_dqs,13,7,4,9,5,-198,-48,2,3,2,3,50,50,0,0,3,2,-1111,244,2,0,2,3,-515,307,3,1,2,-913,0.6,973
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,3,dqs_vs_dq_bit,13,10,3,10,5,-380,27,2,1,4,3,-360,-22,3,2,1,2,459.5,400.5,2,0,2,3,-148,84,3,0,3,839.5,0.6,899.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,4,dqs_vs_dq_bit,13,3,3,10,5,577,377,2,0,5,3,124,124,0,1,2,2,-210.5,-210.5,0,2,0,3,545,545,1,0,3,-787.5,-0.4,827.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,4,dqs_vs_dq_bit,13,7,2,11,5,632,302,4,0,5,3,159,159,0,1,2,2,-165,1,1,1,1,3,618,502,2,0,3,-797,-0.3,827
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,3,dqs_vs_dq_bit,13,9,3,10,5,-268,27,2,1,4,3,-396,49,3,1,2,2,545,456,1,0,2,3,-244,84,3,1,2,813,0.1,823
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,3,dqs_vs_dq_bit,13,8,4,9,5,-237,-198,3,3,2,3,-273,215,1,1,2,2,561.5,367.5,1,0,2,3,-267,173,3,0,3,798.5,-0.1,808.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,4,dqs_vs_dq_bit,13,3,4,9,5,573,468,1,1,4,3,155,155,0,1,2,2,-209.5,-209.5,0,2,0,3,661,463,2,0,3,-782.5,-0.2,802.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,3,dqs_vs_dq_bit,13,8,4,9,5,-232,-103,3,3,2,3,-166,87,1,1,2,2,517.5,265.5,2,0,2,3,-230,254,2,0,3,749.5,0.4,789.5
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_3__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,3,dqs_vs_dq_lane,13,7,4,9,5,-259.5,-40,1,3,2,3,-383.5,68,2,1,2,2,478.5,344.5,1,0,2,3,-259,257,3,0,3,738,0.3,768
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,3,dqs_vs_dq_bit,13,8,6,7,5,90,-337,1,3,2,3,-283,-165,3,2,1,2,765,416,2,1,1,3,-194,439,2,0,3,675,0.8,755
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,3,dqs_vs_dq_bit,13,8,4,9,5,-229,-155,2,3,2,3,-189,189,1,0,3,2,464.5,142.5,2,1,1,3,-494,216,3,0,3,693.5,0.6,753.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,1,dqs_vs_dq_bit,13,6,1,12,5,32,32,2,1,4,3,214,214,0,0,3,2,775,378,1,0,2,3,894,684,3,0,3,743,0.1,753
