feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_4__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,4,endpoint,2,1,1078.0,1305.0,1532.0,1819.0,1819.0,1819.0,514.0,287.0,-741.0,1.0,fail_higher,1.0,1.0,fail_higher,287.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_4__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,4,endpoint,2,1,1282.0,1674.0,2066.0,2141.0,2141.0,2141.0,467.0,75.0,-859.0,1.0,fail_higher,1.0,1.0,fail_higher,75.0
direct_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,clocking,all,,,endpoint,2,1,6105.0,6509.5,6914.0,6974.0,6974.0,6974.0,464.5,60.0,-869.0,1.0,fail_higher,1.0,1.0,fail_higher,60.0
lane_spread__clocking__all__no_bit__ctrl_none__lane__value_ps,lane_spread,clocking,all,,,lane,2,1,5986.0,6390.5,6795.0,6855.0,6855.0,6855.0,464.5,60.0,-869.0,1.0,fail_higher,1.0,1.0,fail_higher,60.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,2,endpoint,2,1,1718.0,1897.0,2076.0,2332.0,2332.0,2332.0,435.0,256.0,-614.0,1.0,fail_higher,1.0,1.0,fail_higher,256.0
direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,3,endpoint,2,1,1274.0,1335.0,1396.0,1743.0,1743.0,1743.0,408.0,347.0,-469.0,1.0,fail_higher,1.0,1.0,fail_higher,347.0
direct_max__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,reset_release,all,,,endpoint,2,1,584.0,584.0,584.0,990.0,990.0,990.0,406.0,406.0,-406.0,1.0,fail_higher,1.0,1.0,fail_higher,406.0
lane_spread__reset_release__all__no_bit__ctrl_none__lane__value_ps,lane_spread,reset_release,all,,,lane,2,1,584.0,584.0,584.0,990.0,990.0,990.0,406.0,406.0,-406.0,1.0,fail_higher,1.0,1.0,fail_higher,406.0
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,3,endpoint,2,1,1194.0,1254.5,1315.0,1652.0,1652.0,1652.0,397.5,337.0,-458.0,1.0,fail_higher,1.0,1.0,fail_higher,337.0
direct_max__idelay_ld__lane0__dqs0__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dqs0,,endpoint,2,1,1370.0,1708.0,2046.0,2055.0,2055.0,2055.0,347.0,9.0,-685.0,1.0,fail_higher,1.0,1.0,fail_higher,9.0
