feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelayctrl__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,idelayctrl,all,,,endpoint,2,1,2849.0,2962.0,3075.0,1656.0,1656.0,1656.0,-1306.0,-1419.0,1193.0,0.0,fail_lower,1.0,-1.0,fail_lower,1193.0
lane_spread__idelayctrl__all__no_bit__ctrl_none__lane__value_ps,lane_spread,idelayctrl,all,,,lane,2,1,1723.0,1836.0,1949.0,530.0,530.0,530.0,-1306.0,-1419.0,1193.0,0.0,fail_lower,1.0,-1.0,fail_lower,1193.0
direct_max__idelay_data_cntvaluein__lane0__dq2__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq2,0,endpoint,2,1,2144.0,2149.0,2154.0,1335.0,1335.0,1335.0,-814.0,-819.0,809.0,0.0,fail_lower,1.0,-1.0,fail_lower,809.0
direct_max__dqs_iologic__lane0__dqs0__ctrl_none__endpoint__value_ps,direct_max,dqs_iologic,lane0,dqs0,,endpoint,2,1,3329.0,3636.5,3944.0,2880.0,2880.0,2880.0,-756.5,-1064.0,449.0,0.0,fail_lower,1.0,-1.0,fail_lower,449.0
lane_spread__dqs_iologic__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,dqs_iologic,lane0,,,lane,2,1,3329.0,3636.5,3944.0,2880.0,2880.0,2880.0,-756.5,-1064.0,449.0,0.0,fail_lower,1.0,-1.0,fail_lower,449.0
direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq1,0,endpoint,2,1,2051.0,2079.5,2108.0,1350.0,1350.0,1350.0,-729.5,-758.0,701.0,0.0,fail_lower,1.0,-1.0,fail_lower,701.0
direct_max__dqs_iologic__lane1__dqs1__ctrl_none__endpoint__value_ps,direct_max,dqs_iologic,lane1,dqs1,,endpoint,2,1,3015.0,3315.0,3615.0,2609.0,2609.0,2609.0,-706.0,-1006.0,406.0,0.0,fail_lower,1.0,-1.0,fail_lower,406.0
lane_spread__dqs_iologic__lane1__no_bit__ctrl_none__lane__value_ps,lane_spread,dqs_iologic,lane1,,,lane,2,1,3015.0,3315.0,3615.0,2609.0,2609.0,2609.0,-706.0,-1006.0,406.0,0.0,fail_lower,1.0,-1.0,fail_lower,406.0
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,0,endpoint,2,1,1909.0,1984.0,2059.0,1338.0,1338.0,1338.0,-646.0,-721.0,571.0,0.0,fail_lower,1.0,-1.0,fail_lower,571.0
direct_max__idelay_data_cntvaluein__lane0__dq4__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq4,0,endpoint,2,1,1881.0,1981.5,2082.0,1356.0,1356.0,1356.0,-625.5,-726.0,525.0,0.0,fail_lower,1.0,-1.0,fail_lower,525.0
direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,0,endpoint,2,1,1990.0,2021.0,2052.0,1424.0,1424.0,1424.0,-597.0,-628.0,566.0,0.0,fail_lower,1.0,-1.0,fail_lower,566.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq10__ctrl_none__dq10__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,2,1,674.0,874.5,1075.0,293.0,293.0,293.0,-581.5,-782.0,381.0,0.0,fail_lower,1.0,-1.0,fail_lower,381.0
direct_max__idelay_data_cntvaluein__lane0__dq0__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq0,0,endpoint,2,1,1950.0,1999.5,2049.0,1449.0,1449.0,1449.0,-550.5,-600.0,501.0,0.0,fail_lower,1.0,-1.0,fail_lower,501.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,2,1,586.0,722.0,858.0,197.0,197.0,197.0,-525.0,-661.0,389.0,0.0,fail_lower,1.0,-1.0,fail_lower,389.0
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,2,endpoint,2,1,2275.0,2308.5,2342.0,1794.0,1794.0,1794.0,-514.5,-548.0,481.0,0.0,fail_lower,1.0,-1.0,fail_lower,481.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq11__ctrl_none__dq11__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,2,1,572.0,718.0,864.0,216.0,216.0,216.0,-502.0,-648.0,356.0,0.0,fail_lower,1.0,-1.0,fail_lower,356.0
direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,2,endpoint,2,1,1894.0,1944.5,1995.0,1460.0,1460.0,1460.0,-484.5,-535.0,434.0,0.0,fail_lower,1.0,-1.0,fail_lower,434.0
