x,category_x,value_ps,pass_value_ps,fail_value_ps,category,failure_class,seed,run_group,variant,experiment_id
0.93422,1,1315.0,1315.0,,pass,pass,1,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-1
1.01166,1,1202.0,1202.0,,pass,pass,1,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed1
1.01804,1,1218.0,1218.0,,pass,pass,2,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed2
0.94434,1,2342.0,2342.0,,pass,pass,3,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-3
1.02442,1,1564.0,1564.0,,pass,pass,3,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed3
1.06952,1,2342.0,2342.0,,pass,pass,3,payload_v3_exact_abort,baseline,exact-abort-seed3-baseline
0.97448,1,2275.0,2275.0,,pass,pass,3,payload_v3_exact_abort,cntvaluein_only,exact-abort-seed3-idelay-control-locked
0.9494,1,1921.0,1921.0,,pass,pass,4,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-4
0.95446,1,1894.0,1894.0,,pass,pass,5,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-5
1.03718,1,1476.0,1476.0,,pass,pass,5,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed5
1.04356,1,1136.0,1136.0,,pass,pass,6,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed6
0.96458,1,1909.0,1909.0,,pass,pass,7,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-7
0.96964,1,1447.0,1447.0,,pass,pass,8,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-8
0.9747,1,1894.0,1894.0,,pass,pass,9,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-9
0.96766,1,1935.0,1935.0,,pass,pass,10,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-10
0.89506,1,1065.0,1065.0,,pass,pass,11,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed11
0.9835,1,1590.0,1590.0,,pass,pass,13,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-13
0.98878,1,2236.0,2236.0,,pass,pass,14,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-14
0.99406,1,1391.0,1391.0,,pass,pass,15,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-15
1.00462,1,2259.0,2259.0,,pass,pass,17,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-17
1.0099,1,1641.0,1641.0,,pass,pass,18,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-18
1.01518,1,1305.0,1305.0,,pass,pass,19,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-19
0.89484,1,1241.0,1241.0,,pass,pass,20,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed20
0.978,1,1409.0,1409.0,,pass,pass,21,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-21
0.98328,1,1863.0,1863.0,,pass,pass,22,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-22
0.99384,1,1733.0,1733.0,,pass,pass,24,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-24
0.99912,1,1631.0,1631.0,,pass,pass,25,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-25
1.0044,1,1574.0,1574.0,,pass,pass,26,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-26
0.94104,1,1649.0,1649.0,,pass,pass,27,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed27
1.01496,1,2062.0,2062.0,,pass,pass,28,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-28
1.02024,1,2006.0,2006.0,,pass,pass,29,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-29
0.97778,1,1730.0,1730.0,,pass,pass,30,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-30
0.99692,1,1866.0,1866.0,,pass,pass,31,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-31
1.00374,1,1021.0,1021.0,,pass,pass,32,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-32
0.99362,1,1741.0,1741.0,,pass,pass,33,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-33
1.01738,1,1424.0,1424.0,,pass,pass,34,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-34
1.00418,1,1830.0,1830.0,,pass,pass,35,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-35
1.0242,1,929.0,929.0,,pass,pass,35,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-35
1.00946,1,1667.0,1667.0,,pass,pass,36,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-36
1.03784,1,1993.0,1993.0,,pass,pass,37,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-37
1.04466,1,2171.0,2171.0,,pass,pass,38,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-38
1.0253,1,2138.0,2138.0,,pass,pass,39,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-39
0.9967,1,1478.0,1478.0,,pass,pass,40,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-40
1.01034,1,1592.0,1592.0,,pass,pass,42,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-42
0.99868,1,1759.0,1759.0,,pass,pass,43,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-43
1.01716,1,792.0,792.0,,pass,pass,43,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-43
1.02398,1,1029.0,1029.0,,pass,pass,44,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-44
1.01452,1,2078.0,2078.0,,pass,pass,46,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-46
1.03762,1,1539.0,1539.0,,pass,pass,46,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-46
1.04444,1,2164.0,2164.0,,pass,pass,47,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-47
1.02508,1,2401.0,2401.0,,pass,pass,48,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-48
1.03036,1,1680.0,1680.0,,pass,pass,49,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-49
1.05808,1,1256.0,1256.0,,pass,pass,49,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-49
0.9879,1,1919.0,1919.0,,pass,pass,50,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-50
0.99318,1,2009.0,2009.0,,pass,pass,51,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-51
0.99846,1,1914.0,1914.0,,pass,pass,52,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-52
