feature_layer,run_group,variant,hardware_pass,failure_class,experiments
direct,baseline_no_lock_seed_1_30,baseline-no-lock,False,fail_abort2_lane0,6
direct,baseline_no_lock_seed_1_30,baseline-no-lock,False,fail_abort2_lane1,1
direct,baseline_no_lock_seed_1_30,baseline-no-lock,False,fail_no_abort_or_startup,1
direct,baseline_no_lock_seed_1_30,baseline-no-lock,True,pass,22
direct,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,False,fail_abort2_lane0,4
direct,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,False,fail_no_abort_or_startup,1
direct,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,True,pass,6
direct,payload_v3_exact_abort,baseline,True,pass,1
direct,payload_v3_exact_abort,cntvaluein_only,True,pass,1
direct,payload_v3_exact_abort,cntvaluein_plus_ld_parent,False,fail_abort2_lane0,1
direct,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,False,fail_abort2_lane0,12
direct,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,False,fail_no_abort_or_startup,4
direct,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,True,pass,14
direct,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,False,fail_abort2_lane0,9
direct,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,False,fail_no_abort_or_startup,2
direct,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,True,pass,19
direct,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,True,pass,2
skew,baseline_no_lock_seed_1_30,baseline-no-lock,False,fail_abort2_lane0,6
skew,baseline_no_lock_seed_1_30,baseline-no-lock,False,fail_abort2_lane1,1
skew,baseline_no_lock_seed_1_30,baseline-no-lock,False,fail_no_abort_or_startup,1
skew,baseline_no_lock_seed_1_30,baseline-no-lock,True,pass,22
skew,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,False,fail_abort2_lane0,4
skew,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,False,fail_no_abort_or_startup,1
skew,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,True,pass,6
skew,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,False,fail_abort2_lane0,12
skew,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,False,fail_no_abort_or_startup,4
skew,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,True,pass,14
skew,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,False,fail_abort2_lane0,9
skew,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,False,fail_no_abort_or_startup,2
skew,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,True,pass,19
skew,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,True,pass,2
