plot,feature_layer,feature,dat,gp,png
baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq14_ctrl_3_dqs_vs_dq_bit_value_ps,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq14_ctrl_3_dqs_vs_dq_bit_value_ps.dat,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq14_ctrl_3_dqs_vs_dq_bit_value_ps.gp,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq14_ctrl_3_dqs_vs_dq_bit_value_ps.png
baseline_seed_1_30_skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane1_no_bit_ctrl_0_ld_vs_,skew,abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane1_no_bit_ctrl_0_ld_vs_.dat,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane1_no_bit_ctrl_0_ld_vs_.gp,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane1_no_bit_ctrl_0_ld_vs_.png
baseline_seed_1_30_skew_abs_dqs_minus_dq_median_idelay_cntvaluein_skew_lane1_dqs1_ctrl_4_dqs_vs_dq_lane_value_,skew,abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_4__dqs_vs_dq_lane__value_ps,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_median_idelay_cntvaluein_skew_lane1_dqs1_ctrl_4_dqs_vs_dq_lane_value_.dat,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_median_idelay_cntvaluein_skew_lane1_dqs1_ctrl_4_dqs_vs_dq_lane_value_.gp,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_median_idelay_cntvaluein_skew_lane1_dqs1_ctrl_4_dqs_vs_dq_lane_value_.png
baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq12_ctrl_3_dqs_vs_dq_bit_value_ps,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_3__dqs_vs_dq_bit__value_ps,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq12_ctrl_3_dqs_vs_dq_bit_value_ps.dat,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq12_ctrl_3_dqs_vs_dq_bit_value_ps.gp,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq12_ctrl_3_dqs_vs_dq_bit_value_ps.png
baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq7_ctrl_3_dqs_vs_dq_bit_value_ps,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_3__dqs_vs_dq_bit__value_ps,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq7_ctrl_3_dqs_vs_dq_bit_value_ps.dat,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq7_ctrl_3_dqs_vs_dq_bit_value_ps.gp,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq7_ctrl_3_dqs_vs_dq_bit_value_ps.png
baseline_seed_1_30_skew_abs_ld_minus_cntvaluein_dqs_idelay_ld_cntvaluein_skew_lane0_dqs0_ctrl_0_ld_vs_cntvalue,skew,abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_ld_minus_cntvaluein_dqs_idelay_ld_cntvaluein_skew_lane0_dqs0_ctrl_0_ld_vs_cntvalue.dat,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_ld_minus_cntvaluein_dqs_idelay_ld_cntvaluein_skew_lane0_dqs0_ctrl_0_ld_vs_cntvalue.gp,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_ld_minus_cntvaluein_dqs_idelay_ld_cntvaluein_skew_lane0_dqs0_ctrl_0_ld_vs_cntvalue.png
baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq5_ctrl_2_dqs_vs_dq_bit_value_ps,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_2__dqs_vs_dq_bit__value_ps,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq5_ctrl_2_dqs_vs_dq_bit_value_ps.dat,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq5_ctrl_2_dqs_vs_dq_bit_value_ps.gp,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq5_ctrl_2_dqs_vs_dq_bit_value_ps.png
baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq0_ctrl_1_dqs_vs_dq_bit_value_ps,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_1__dqs_vs_dq_bit__value_ps,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq0_ctrl_1_dqs_vs_dq_bit_value_ps.dat,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq0_ctrl_1_dqs_vs_dq_bit_value_ps.gp,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq0_ctrl_1_dqs_vs_dq_bit_value_ps.png
baseline_seed_1_30_direct_cntvaluein_bus_skew_idelay_dqs_cntvaluein_lane0_dqs0_ctrl_none_dqs0_value_ps,direct,cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_direct_cntvaluein_bus_skew_idelay_dqs_cntvaluein_lane0_dqs0_ctrl_none_dqs0_value_ps.dat,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_direct_cntvaluein_bus_skew_idelay_dqs_cntvaluein_lane0_dqs0_ctrl_none_dqs0_value_ps.gp,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_direct_cntvaluein_bus_skew_idelay_dqs_cntvaluein_lane0_dqs0_ctrl_none_dqs0_value_ps.png
baseline_seed_1_30_direct_lane_spread_idelay_dqs_cntvaluein_lane0_no_bit_ctrl_none_lane_value_ps,direct,lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_direct_lane_spread_idelay_dqs_cntvaluein_lane0_no_bit_ctrl_none_lane_value_ps.dat,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_direct_lane_spread_idelay_dqs_cntvaluein_lane0_no_bit_ctrl_none_lane_value_ps.gp,artifacts/statistical-sdf/global-ddr3-causality-analysis/plots/baseline_seed_1_30_direct_lane_spread_idelay_dqs_cntvaluein_lane0_no_bit_ctrl_none_lane_value_ps.png
