index,seed,value_ps,pass_value_ps,fail_value_ps,status,failure_class,run_group,variant,experiment_id
1,1,141.0,141.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-1
2,2,707.0,,707.0,fail,fail_abort2_lane1,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-2
3,3,53.0,53.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-3
4,4,140.0,140.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-4
5,5,139.0,139.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-5
6,6,326.0,,326.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-6
7,7,214.0,214.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-7
8,8,317.0,317.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-8
9,9,265.0,265.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-9
10,10,153.0,153.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-10
11,11,301.0,,301.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-11
12,12,117.0,,117.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-12
13,13,164.0,164.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-13
14,14,198.0,198.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-14
15,15,17.0,17.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-15
16,16,480.0,,480.0,fail,fail_no_abort_or_startup,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-16
17,17,809.0,809.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-17
18,18,23.0,23.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-18
19,19,351.0,351.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-19
20,20,421.0,,421.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-20
21,21,11.0,11.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-21
22,22,66.0,66.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-22
23,23,230.0,,230.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-23
24,24,97.0,97.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-24
25,25,254.0,254.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-25
26,26,10.0,10.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-26
27,27,400.0,,400.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-27
28,28,179.0,179.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-28
29,29,56.0,56.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-29
30,30,143.0,143.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-30
31,12,350.0,,350.0,fail,fail_no_abort_or_startup,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed12-long-poll
32,16,508.0,,508.0,fail,fail_abort2_lane0,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed16-long-poll
33,23,419.0,,419.0,fail,fail_abort2_lane0,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed23-long-poll
34,28,538.0,,538.0,fail,fail_abort2_lane0,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed28-long-poll
35,30,69.0,,69.0,fail,fail_abort2_lane0,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed30-long-poll
36,1,325.0,325.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed1
37,5,355.0,355.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed5
38,6,522.0,522.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed6
39,11,146.0,146.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed11
40,20,69.0,69.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed20
41,27,629.0,629.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed27
42,31,80.0,,80.0,fail,fail_no_abort_or_startup,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-31
43,31,599.0,599.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-31
44,32,145.0,,145.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-32
45,32,162.0,162.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-32
46,33,105.0,105.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-33
47,33,46.0,,46.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-33
48,34,178.0,,178.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-34
49,34,459.0,459.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-34
50,35,219.0,219.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-35
51,35,136.0,136.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-35
52,36,243.0,243.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-36
53,36,35.0,,35.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-36
54,37,518.0,,518.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-37
55,37,30.0,30.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-37
56,38,123.0,,123.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-38
57,38,212.0,212.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-38
58,39,516.0,516.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-39
59,39,549.0,,549.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-39
60,40,793.0,,793.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-40
61,40,99.0,99.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-40
62,41,332.0,,332.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-41
63,41,446.0,,446.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-41
64,42,359.0,,359.0,fail,fail_no_abort_or_startup,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-42
65,42,630.0,630.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-42
66,43,255.0,255.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-43
67,43,291.0,291.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-43
68,44,135.0,,135.0,fail,fail_no_abort_or_startup,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-44
69,44,18.0,18.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-44
70,45,360.0,,360.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-45
71,45,650.0,,650.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-45
72,46,204.0,204.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-46
73,46,3.0,3.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-46
