index,seed,value_ps,pass_value_ps,fail_value_ps,status,failure_class,run_group,variant,experiment_id
1,1,18.0,18.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-1
2,2,211.0,,211.0,fail,fail_abort2_lane1,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-2
3,3,418.0,418.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-3
4,4,170.0,170.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-4
5,5,99.0,99.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-5
6,6,1009.0,,1009.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-6
7,7,362.0,362.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-7
8,8,764.0,764.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-8
9,9,227.0,227.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-9
10,10,204.0,204.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-10
11,11,314.0,,314.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-11
12,12,430.0,,430.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-12
13,13,252.0,252.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-13
14,14,537.0,537.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-14
15,15,84.0,84.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-15
16,16,474.0,,474.0,fail,fail_no_abort_or_startup,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-16
17,17,197.0,197.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-17
18,18,33.0,33.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-18
19,19,11.0,11.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-19
20,20,330.0,,330.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-20
21,21,977.0,977.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-21
22,22,67.0,67.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-22
23,23,722.0,,722.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-23
24,24,31.0,31.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-24
25,25,525.0,525.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-25
26,26,209.0,209.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-26
27,27,833.0,,833.0,fail,fail_abort2_lane0,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-27
28,28,745.0,745.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-28
29,29,648.0,648.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-29
30,30,50.0,50.0,,pass,pass,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-30
31,12,605.0,,605.0,fail,fail_no_abort_or_startup,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed12-long-poll
32,16,165.0,,165.0,fail,fail_abort2_lane0,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed16-long-poll
33,23,233.0,,233.0,fail,fail_abort2_lane0,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed23-long-poll
34,28,633.0,,633.0,fail,fail_abort2_lane0,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed28-long-poll
35,30,421.0,,421.0,fail,fail_abort2_lane0,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed30-long-poll
36,1,389.0,389.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed1
37,5,173.0,173.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed5
38,6,26.0,26.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed6
39,11,219.0,219.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed11
40,20,229.0,229.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed20
41,27,110.0,110.0,,pass,pass,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed27
42,31,382.0,,382.0,fail,fail_no_abort_or_startup,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-31
43,31,82.0,82.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-31
44,32,255.0,,255.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-32
45,32,505.0,505.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-32
46,33,58.0,58.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-33
47,33,247.0,,247.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-33
48,34,189.0,,189.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-34
49,34,89.0,89.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-34
50,35,217.0,217.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-35
51,35,29.0,29.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-35
52,36,576.0,576.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-36
53,36,612.0,,612.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-36
54,37,650.0,,650.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-37
55,37,184.0,184.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-37
56,38,449.0,,449.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-38
57,38,128.0,128.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-38
58,39,557.0,557.0,,pass,pass,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-39
59,39,864.0,,864.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed-39
60,40,1149.0,,1149.0,fail,fail_abort2_lane0,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,baseline-no-lock-seed-40
