comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
all_usable,skew,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,63,40,-985.0,-135.0,768.5,-615.5,177.75,858.0,312.75,0.657738,fail_higher,0.657738,0.315476,overlap,0.0,7.91839
all_usable,skew,abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,63,40,0.0,278.0,583.0,0.0,204.0,556.0,-74.0,0.354563,fail_lower,0.645437,-0.290873,overlap,0.0,7.300855
all_usable,direct,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,2,lane_control_bit,65,41,128.0,342.0,688.0,151.0,288.0,551.0,-54.0,0.365103,fail_lower,0.634897,-0.269794,overlap,0.0,6.963864
all_usable,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,3,dqs_vs_dq_bit,63,40,3.0,187.0,910.0,16.0,343.5,793.0,156.5,0.63631,fail_higher,0.63631,0.272619,overlap,0.0,6.842684
all_usable,skew,dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_2__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,2,dq_lane,63,40,128.0,342.0,688.0,151.0,290.5,551.0,-51.5,0.365079,fail_lower,0.634921,-0.269841,overlap,0.0,6.772962
all_usable,skew,signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,63,40,-583.0,-278.0,342.0,-556.0,-204.0,103.0,74.0,0.634325,fail_higher,0.634325,0.268651,overlap,0.0,6.743081
all_usable,direct,cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,65,41,220.0,651.0,1542.0,147.0,744.0,1581.0,93.0,0.62833,fail_higher,0.62833,0.25666,overlap,0.0,6.624872
all_usable,direct,lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,65,41,220.0,651.0,1542.0,147.0,744.0,1581.0,93.0,0.62833,fail_higher,0.62833,0.25666,overlap,0.0,6.624872
all_usable,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,dqs_vs_dq_bit,63,40,-794.0,84.0,1059.0,-873.0,-102.5,1021.0,-186.5,0.370833,fail_lower,0.629167,-0.258333,overlap,0.0,6.484115
all_usable,skew,abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,1,ld_vs_cntvaluein_dq_lane,63,40,3.5,329.0,884.0,6.5,213.75,998.5,-115.25,0.371032,fail_lower,0.628968,-0.257937,overlap,0.0,6.474155
