comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
baseline_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,0,dqs_vs_dq_bit,36,19,43.0,219.5,751.0,10.0,104.0,1240.0,-115.5,0.280702,fail_lower,0.719298,-0.438596,overlap,0.0,5.735393
baseline_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,3,dqs_vs_dq_bit,36,19,10.0,180.0,910.0,61.0,332.0,793.0,152.0,0.712719,fail_higher,0.712719,0.425439,overlap,0.0,5.563332
baseline_abort2_vs_pass,skew,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,,dqs_vs_dq_bus_skew,36,19,-532.5,-55.75,520.0,-290.5,71.5,901.0,127.25,0.701754,fail_higher,0.701754,0.403509,overlap,0.0,5.276562
baseline_abort2_vs_pass,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq10__ctrl_none__dq10__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,36,19,272.0,569.0,1075.0,227.0,439.0,808.0,-130.0,0.298977,fail_lower,0.701023,-0.402047,overlap,0.0,5.257444
baseline_abort2_vs_pass,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq8__ctrl_none__dq8__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,36,19,222.0,623.0,1266.0,165.0,448.0,900.0,-175.0,0.30117,fail_lower,0.69883,-0.397661,overlap,0.0,5.20009
baseline_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,2,endpoint,36,19,1305.0,1846.5,2401.0,1205.0,1590.0,2335.0,-256.5,0.302632,fail_lower,0.697368,-0.394737,overlap,0.0,5.161854
baseline_abort2_vs_pass,skew,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,36,19,-679.5,-59.75,637.0,-391.0,211.5,858.0,271.25,0.694444,fail_higher,0.694444,0.388889,overlap,0.0,5.085382
baseline_abort2_vs_pass,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,36,19,117.0,421.5,827.0,130.0,291.0,1028.0,-130.5,0.311404,fail_lower,0.688596,-0.377193,overlap,0.0,4.932438
baseline_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,2,endpoint,36,19,1236.0,1832.0,2395.0,1241.0,1588.0,2325.0,-244.0,0.315789,fail_lower,0.684211,-0.368421,overlap,0.0,4.81773
baseline_abort2_vs_pass,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,36,19,130.0,482.5,858.0,166.0,363.0,717.0,-119.5,0.319444,fail_lower,0.680556,-0.361111,overlap,0.0,4.722141
