comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
baseline_all,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,3,dqs_vs_dq_bit,36,24,10.0,180.0,910.0,61.0,329.0,793.0,149.0,0.680556,fail_higher,0.680556,0.361111,overlap,0.0,5.307228
baseline_all,skew,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,36,24,-679.5,-59.75,637.0,-391.0,202.75,858.0,262.5,0.678241,fail_higher,0.678241,0.356481,overlap,0.0,5.239186
baseline_all,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,0,dqs_vs_dq_bit,36,24,43.0,219.5,751.0,10.0,119.5,1240.0,-100.0,0.327546,fail_lower,0.672454,-0.344907,overlap,0.0,5.069083
baseline_all,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq8__ctrl_none__dq8__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,36,24,222.0,623.0,1266.0,165.0,456.0,900.0,-167.0,0.329282,fail_lower,0.670718,-0.341435,overlap,0.0,5.018052
baseline_all,skew,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,,dqs_vs_dq_bus_skew,36,24,-532.5,-55.75,520.0,-290.5,64.0,901.0,119.75,0.670139,fail_higher,0.670139,0.340278,overlap,0.0,5.001042
baseline_all,direct,cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,36,24,220.0,574.0,1188.0,147.0,859.0,1581.0,285.0,0.668981,fail_higher,0.668981,0.337963,overlap,0.0,4.967021
baseline_all,direct,lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,36,24,220.0,574.0,1188.0,147.0,859.0,1581.0,285.0,0.668981,fail_higher,0.668981,0.337963,overlap,0.0,4.967021
baseline_all,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,36,24,117.0,421.5,827.0,130.0,319.0,1028.0,-102.5,0.331597,fail_lower,0.668403,-0.336806,overlap,0.0,4.950011
baseline_all,direct,direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,2,endpoint,36,24,1305.0,1846.5,2401.0,1205.0,1614.0,2335.0,-232.5,0.342593,fail_lower,0.657407,-0.314815,overlap,0.0,4.626814
baseline_all,direct,lane_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_data_cntvaluein,lane1,,,lane,36,24,591.0,902.0,1332.0,435.0,808.0,1042.0,-94.0,0.342593,fail_lower,0.657407,-0.314815,overlap,0.0,4.626814
baseline_all,skew,signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,36,24,-583.0,-277.0,27.0,-556.0,-200.5,103.0,76.5,0.65625,fail_higher,0.65625,0.3125,overlap,0.0,4.592793
baseline_all,skew,abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,36,24,0.0,277.0,583.0,0.0,200.5,556.0,-76.5,0.344907,fail_lower,0.655093,-0.310185,overlap,0.0,4.558773
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,dqs_vs_dq_bit,36,24,-750.0,86.5,1059.0,-592.0,-113.0,1021.0,-199.5,0.356481,fail_lower,0.643519,-0.287037,overlap,0.0,4.218566
baseline_all,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,36,24,130.0,482.5,858.0,166.0,368.0,717.0,-114.5,0.35706,fail_lower,0.64294,-0.28588,overlap,0.0,4.201555
baseline_all,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,3,dqs_vs_dq_bit,36,24,1.0,161.5,770.0,71.0,203.5,788.0,42.0,0.641782,fail_higher,0.641782,0.283565,overlap,0.0,4.167535
baseline_all,skew,abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,0,ld_vs_cntvaluein_dq_lane,36,24,1.5,169.25,571.5,68.5,270.75,631.5,101.5,0.641204,fail_higher,0.641204,0.282407,overlap,0.0,4.150524
baseline_all,skew,signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,2,ld_vs_cntvaluein_dq_lane,36,24,-799.5,-55.25,779.0,-702.5,151.25,835.5,206.5,0.640046,fail_higher,0.640046,0.280093,overlap,0.0,4.116504
baseline_all,direct,direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq1,2,endpoint,36,24,1179.0,1870.5,2415.0,1243.0,1565.5,2220.0,-305.0,0.362269,fail_lower,0.637731,-0.275463,overlap,0.0,4.048462
baseline_all,skew,dq_bus_skew_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_none__dq_lane_bus_skew__value_ps,dq_bus_skew_range,idelay_cntvaluein_skew,lane1,,,dq_lane_bus_skew,36,24,202.0,416.5,761.0,167.0,363.5,525.0,-53.0,0.362847,fail_lower,0.637153,-0.274306,overlap,0.0,4.031452
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,0,dqs_vs_dq_bit,36,24,-714.0,123.0,970.0,-601.0,-82.5,1027.0,-205.5,0.365162,fail_lower,0.634838,-0.269676,overlap,0.0,3.96341
baseline_all,skew,abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,2,ld_vs_cntvaluein_dq_lane,36,24,2.5,199.75,513.0,17.5,278.75,701.5,79.0,0.634259,fail_higher,0.634259,0.268519,overlap,0.0,3.9464
baseline_all,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq10__ctrl_none__dq10__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,36,24,272.0,569.0,1075.0,227.0,440.5,865.0,-128.5,0.367477,fail_lower,0.632523,-0.265046,overlap,0.0,3.895369
baseline_all,direct,direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,2,endpoint,36,24,1236.0,1832.0,2395.0,1241.0,1665.0,2325.0,-167.0,0.369213,fail_lower,0.630787,-0.261574,overlap,0.0,3.844338
baseline_all,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq15__ctrl_none__dq15__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,36,24,147.0,410.0,697.0,101.0,373.5,856.0,-36.5,0.370949,fail_lower,0.629051,-0.258102,overlap,0.0,3.793307
baseline_all,direct,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,2,endpoint,36,24,922.0,1403.5,1996.0,866.0,1291.5,2042.0,-112.0,0.375,fail_lower,0.625,-0.25,overlap,0.0,3.674235
