comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,3,dqs_vs_dq_bit,22,8,10.0,142.0,809.0,117.0,363.0,707.0,221.0,0.840909,fail_higher,0.840909,0.681818,overlap,0.0,4.52267
baseline_seed_1_30,skew,abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,0,ld_vs_cntvaluein_dq_lane,22,8,1.5,233.5,475.0,141.5,336.75,527.0,103.25,0.78125,fail_higher,0.78125,0.5625,overlap,0.0,3.731203
baseline_seed_1_30,skew,abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_4__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,4,dqs_vs_dq_lane,22,8,61.5,302.5,727.0,5.0,82.75,364.5,-219.75,0.221591,fail_lower,0.778409,-0.556818,overlap,0.0,3.693514
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,3,dqs_vs_dq_bit,22,8,34.0,150.0,719.0,140.0,314.5,876.0,164.5,0.772727,fail_higher,0.772727,0.545455,overlap,0.0,3.618136
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,3,dqs_vs_dq_bit,22,8,6.0,262.0,731.0,13.0,491.5,1034.0,229.5,0.764205,fail_higher,0.764205,0.528409,overlap,0.0,3.505069
baseline_seed_1_30,skew,abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,0,ld_vs_cntvaluein_dqs,22,8,11.0,206.5,977.0,211.0,452.0,1009.0,245.5,0.761364,fail_higher,0.761364,0.522727,overlap,0.0,3.46738
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,2,dqs_vs_dq_bit,22,8,16.0,165.5,785.0,146.0,332.5,906.0,167.0,0.761364,fail_higher,0.761364,0.522727,overlap,0.0,3.46738
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,1,dqs_vs_dq_bit,22,8,26.0,346.5,1034.0,22.0,78.5,675.0,-268.0,0.244318,fail_lower,0.755682,-0.511364,overlap,0.0,3.392003
baseline_seed_1_30,direct,cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,22,8,220.0,574.0,1157.0,487.0,879.0,1323.0,305.0,0.75,fail_higher,0.75,0.5,overlap,0.0,3.316625
baseline_seed_1_30,direct,lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,22,8,220.0,574.0,1157.0,487.0,879.0,1323.0,305.0,0.75,fail_higher,0.75,0.5,overlap,0.0,3.316625
