comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_4__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,4,dqs_vs_dq_lane,27,16,72.5,358.5,1006.0,47.5,189.75,623.0,-168.75,0.238426,fail_lower,0.761574,-0.523148,overlap,0.0,5.436715
cntvaluein3_locked_only,skew,abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,1,ld_vs_cntvaluein_dq_lane,27,16,41.5,356.5,773.0,37.0,190.25,998.5,-166.25,0.239583,fail_lower,0.760417,-0.520833,overlap,0.0,5.412659
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,4,dqs_vs_dq_bit,27,16,8.0,447.0,1088.0,41.0,168.5,647.0,-278.5,0.240741,fail_lower,0.759259,-0.518519,overlap,0.0,5.388603
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,4,dqs_vs_dq_bit,27,16,16.0,405.0,1092.0,2.0,223.5,662.0,-181.5,0.243056,fail_lower,0.756944,-0.513889,overlap,0.0,5.34049
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,4,dqs_vs_dq_bit,27,16,28.0,387.0,1041.0,31.0,160.0,652.0,-227.0,0.256944,fail_lower,0.743056,-0.486111,overlap,0.0,5.051815
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,4,dqs_vs_dq_bit,27,16,0.0,308.0,825.0,18.0,172.0,686.0,-136.0,0.275463,fail_lower,0.724537,-0.449074,overlap,0.0,4.666915
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,4,dqs_vs_dq_bit,27,16,12.0,444.0,1092.0,45.0,196.5,736.0,-247.5,0.280093,fail_lower,0.719907,-0.439815,overlap,0.0,4.57069
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,4,dqs_vs_dq_bit,27,16,35.0,340.0,954.0,8.0,185.0,561.0,-155.0,0.28588,fail_lower,0.71412,-0.428241,overlap,0.0,4.450408
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,4,dqs_vs_dq_bit,27,16,25.0,317.0,804.0,2.0,169.0,561.0,-148.0,0.287037,fail_lower,0.712963,-0.425926,overlap,0.0,4.426352
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,4,dqs_vs_dq_bit,27,16,6.0,385.0,1033.0,36.0,210.5,657.0,-174.5,0.295139,fail_lower,0.704861,-0.409722,overlap,0.0,4.257958
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,4,dqs_vs_dq_bit,27,16,0.0,396.0,1126.0,47.0,210.5,650.0,-185.5,0.296296,fail_lower,0.703704,-0.407407,overlap,0.0,4.233902
cntvaluein3_locked_only,direct,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,2,lane_control_bit,27,16,194.0,350.0,632.0,174.0,283.0,530.0,-67.0,0.300926,fail_lower,0.699074,-0.398148,overlap,0.0,4.137677
cntvaluein3_locked_only,skew,dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_2__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,2,dq_lane,27,16,194.0,350.0,632.0,174.0,283.0,530.0,-67.0,0.300926,fail_lower,0.699074,-0.398148,overlap,0.0,4.137677
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,1,dqs_vs_dq_bit,27,16,7.0,365.0,1348.0,13.0,81.5,1216.0,-283.5,0.305556,fail_lower,0.694444,-0.388889,overlap,0.0,4.041452
cntvaluein3_locked_only,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,2,dqs_vs_dq_bit,27,16,-895.0,82.0,1159.0,-836.0,-207.0,264.0,-289.0,0.309028,fail_lower,0.690972,-0.381944,overlap,0.0,3.969283
cntvaluein3_locked_only,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,1,dqs_vs_dq_bit,27,16,13.0,441.0,1214.0,7.0,238.0,1031.0,-203.0,0.310185,fail_lower,0.689815,-0.37963,overlap,0.0,3.945227
