comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,4,dqs_vs_dq_bit,27,13,0.0,308.0,825.0,18.0,169.0,686.0,-139.0,0.213675,fail_lower,0.786325,-0.57265,overlap,0.0,5.364293
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_4__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,4,dqs_vs_dq_lane,27,13,72.5,358.5,1006.0,47.5,130.5,623.0,-228.0,0.216524,fail_lower,0.783476,-0.566952,overlap,0.0,5.310917
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,4,dqs_vs_dq_bit,27,13,16.0,405.0,1092.0,2.0,151.0,662.0,-254.0,0.222222,fail_lower,0.777778,-0.555556,overlap,0.0,5.204165
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,4,dqs_vs_dq_bit,27,13,8.0,447.0,1088.0,41.0,158.0,647.0,-289.0,0.225071,fail_lower,0.774929,-0.549858,overlap,0.0,5.150789
locked_abort2_vs_pass,skew,abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,1,ld_vs_cntvaluein_dq_lane,27,13,41.5,356.5,773.0,37.0,174.5,998.5,-182.0,0.245014,fail_lower,0.754986,-0.509972,overlap,0.0,4.777157
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,4,dqs_vs_dq_bit,27,13,25.0,317.0,804.0,2.0,138.0,561.0,-179.0,0.25641,fail_lower,0.74359,-0.487179,overlap,0.0,4.563652
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_4__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,4,dqs_vs_dq_lane,27,13,63.0,293.0,836.5,18.0,156.0,561.0,-137.0,0.257835,fail_lower,0.742165,-0.48433,overlap,0.0,4.536964
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,4,dqs_vs_dq_bit,27,13,35.0,340.0,954.0,8.0,166.0,561.0,-174.0,0.259259,fail_lower,0.740741,-0.481481,overlap,0.0,4.510276
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,4,dqs_vs_dq_bit,27,13,28.0,387.0,1041.0,31.0,177.0,652.0,-210.0,0.270655,fail_lower,0.729345,-0.458689,overlap,0.0,4.296772
locked_abort2_vs_pass,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq4__ctrl_none__dq4__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,27,13,291.0,922.0,1695.0,319.0,680.0,935.0,-242.0,0.279202,fail_lower,0.720798,-0.441595,overlap,0.0,4.136644
