x,category_x,value_ps,pass_value_ps,fail_value_ps,category,failure_class,seed,run_group,variant,experiment_id
0.93422,1,511.0,511.0,,pass,pass,1,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-1
1.01166,1,278.5,278.5,,pass,pass,1,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed1
1.01804,1,13.0,13.0,,pass,pass,2,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed2
0.94434,1,-316.5,-316.5,,pass,pass,3,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-3
1.02442,1,-58.0,-58.0,,pass,pass,3,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed3
0.9494,1,-160.5,-160.5,,pass,pass,4,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-4
0.95446,1,115.5,115.5,,pass,pass,5,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-5
1.03718,1,264.5,264.5,,pass,pass,5,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed5
1.04356,1,318.0,318.0,,pass,pass,6,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed6
0.96458,1,-382.5,-382.5,,pass,pass,7,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-7
0.96964,1,92.0,92.0,,pass,pass,8,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-8
0.9747,1,-297.5,-297.5,,pass,pass,9,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-9
0.96766,1,-387.0,-387.0,,pass,pass,10,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-10
0.89506,1,66.5,66.5,,pass,pass,11,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,cntvaluein3-skew-locked-seed11
0.9835,1,-131.0,-131.0,,pass,pass,13,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-13
0.98878,1,-757.0,-757.0,,pass,pass,14,baseline_no_lock_seed_1_30,baseline-no-lock,baseline-no-lock-seed-14
