plot,feature_layer,feature,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,failure_free_interval_kind,failure_free_low_ps,failure_free_high_ps,failure_free_width_ps,failure_free_pass_points_inside,best_rule,threshold_ps,false_fail_pass_points,false_pass_fail_points,threshold_errors,threshold_error_rate,threshold_error_balance
signed_baseline_abort2_vs_pass_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq5_ctrl_0_dqs_vs_dq_,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,63,40,-794.0,84.0,1059.0,-873.0,-102.5,1021.0,internal_gap,490.0,903.0,413.0,11,fail_le_threshold,-85.0,14,17,31,0.300971,17
signed_baseline_seed_31_60_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq5_ctrl_0_dqs_vs_dq_bit_,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,63,40,-794.0,84.0,1059.0,-873.0,-102.5,1021.0,internal_gap,490.0,903.0,413.0,11,fail_le_threshold,-85.0,14,17,31,0.300971,17
signed_baseline_abort2_vs_pass_skew_signed_lane1_minus_lane0_dqs_idelay_cntvaluein_skew_all_no_bit_ctrl_4_lane,skew,signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,63,40,-583.0,-278.0,342.0,-556.0,-204.0,103.0,high_tail,103.0,342.0,239.0,1,fail_ge_threshold,-202.0,10,21,31,0.300971,21
signed_baseline_seed_31_60_skew_signed_lane1_minus_lane0_dqs_idelay_cntvaluein_skew_all_no_bit_ctrl_4_lane1_vs,skew,signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,63,40,-583.0,-278.0,342.0,-556.0,-204.0,103.0,high_tail,103.0,342.0,239.0,1,fail_ge_threshold,-202.0,10,21,31,0.300971,21
signed_baseline_seed_31_60_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq3_ctrl_0_dqs_vs_dq_bit_,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,63,40,-875.0,116.0,982.0,-785.0,-54.5,1027.0,internal_gap,573.0,990.0,417.0,13,fail_le_threshold,-19.0,17,17,34,0.330097,17
signed_baseline_seed_1_30_skew_signed_ld_minus_cntvaluein_dqs_idelay_ld_cntvaluein_skew_lane0_dqs0_ctrl_0_ld_v,skew,signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,63,40,-720.0,-26.0,977.0,-1009.0,152.5,1149.0,internal_gap,897.0,1149.0,252.0,1,fail_le_threshold,-721.0,0,35,35,0.339806,35
signed_baseline_seed_1_30_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq9_ctrl_3_dqs_vs_dq_bit_v,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_3__dqs_vs_dq_bit__value_ps,63,40,-576.0,151.0,744.0,-764.0,190.5,1089.0,internal_gap,-764.0,-299.0,465.0,5,fail_ge_threshold,607.5,2,34,36,0.349515,34
signed_baseline_seed_1_30_skew_signed_dqs_bus_skew_minus_dq_median_idelay_cntvaluein_skew_lane1_dqs1_ctrl_none,skew,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_bus_skew__value_ps,63,40,-955.0,-44.5,951.0,-642.0,40.25,901.0,low_tail,-955.0,-642.0,313.0,3,fail_ge_threshold,211.5,8,28,36,0.349515,28
signed_baseline_abort2_vs_pass_skew_signed_dqs_bus_skew_minus_dq_median_idelay_cntvaluein_skew_lane1_dqs1_ctrl,skew,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_bus_skew__value_ps,63,40,-955.0,-44.5,951.0,-642.0,40.25,901.0,low_tail,-955.0,-642.0,313.0,3,fail_ge_threshold,211.5,8,28,36,0.349515,28
signed_baseline_seed_1_30_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_0_lan,skew,signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dq__value_ps,63,40,-697.5,-295.5,92.0,-724.5,-286.75,19.0,internal_gap,-724.5,-624.0,100.5,1,fail_ge_threshold,-65.5,2,34,36,0.349515,34
