x,delta,fail_to_pass_delta,pass_to_fail_delta,other_delta,transition,seed,feature
2.9892,-126.0,,,-126.0,fail_to_fail,12,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
3.0756,-5.0,,,-5.0,fail_to_fail,16,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
3.0018,-507.0,,,-507.0,fail_to_fail,23,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
2.9406,92.0,,,92.0,fail_to_fail,41,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
3.027,273.0,,,273.0,fail_to_fail,45,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
2.946,277.0,,,277.0,fail_to_fail,60,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
1.0432,492.0,492.0,,,fail_to_pass,2,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
0.9496,-602.0,-602.0,,,fail_to_pass,6,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
0.9226,-150.0,-150.0,,,fail_to_pass,11,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
0.982,770.0,770.0,,,fail_to_pass,20,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
1.0882,185.0,185.0,,,fail_to_pass,27,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
0.9946,182.0,182.0,,,fail_to_pass,31,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
1.0612,116.0,116.0,,,fail_to_pass,32,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
1.0144,175.0,175.0,,,fail_to_pass,34,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
1.0342,22.0,22.0,,,fail_to_pass,37,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
0.9208,280.0,280.0,,,fail_to_pass,38,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
1.054,-147.0,-147.0,,,fail_to_pass,40,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
1.0072,99.0,99.0,,,fail_to_pass,42,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
0.9604,-777.0,-777.0,,,fail_to_pass,44,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
0.9802,-307.0,-307.0,,,fail_to_pass,47,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
1.0864,404.0,404.0,,,fail_to_pass,54,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
0.973,54.0,54.0,,,fail_to_pass,55,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
0.9262,501.0,501.0,,,fail_to_pass,57,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
0.9928,558.0,558.0,,,fail_to_pass,58,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
1.9748,988.0,,988.0,,pass_to_fail,28,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
1.928,-578.0,,-578.0,,pass_to_fail,30,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
1.9478,-595.0,,-595.0,,pass_to_fail,33,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
1.9676,-397.0,,-397.0,,pass_to_fail,36,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
1.9874,-27.0,,-27.0,,pass_to_fail,39,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
2.0468,-586.0,,-586.0,,pass_to_fail,48,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
2.0,-553.0,,-553.0,,pass_to_fail,50,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
2.0666,-846.0,,-846.0,,pass_to_fail,51,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps
