pair_id,seed,before_experiment_id,after_experiment_id,before_variant,after_variant,before_pass,after_pass,hardware_transition,before_failure_class,after_failure_class,before_abort_reason,after_abort_reason,before_abort_lane,after_abort_lane
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0
seed2__baseline-no-lock__to__cntvaluein3-skew-locked,2,baseline-no-lock-seed-2,cntvaluein3-skew-locked-seed2,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane1,pass,2,0,1,0
seed3__baseline-no-lock__to__cntvaluein3-skew-locked,3,baseline-no-lock-seed-3,cntvaluein3-skew-locked-seed3,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0
seed3__baseline-no-lock__to__cntvaluein_only,3,baseline-no-lock-seed-3,exact-abort-seed3-idelay-control-locked,baseline-no-lock,cntvaluein_only,True,True,pass_to_pass,pass,pass,0,0,0,0
seed3__baseline-no-lock__to__cntvaluein_plus_ld_parent,3,baseline-no-lock-seed-3,exact-abort-seed3-idelay-control-full-locked,baseline-no-lock,cntvaluein_plus_ld_parent,True,False,pass_to_fail,pass,fail_abort2_lane0,0,2,0,0
seed5__baseline-no-lock__to__cntvaluein3-skew-locked,5,baseline-no-lock-seed-5,cntvaluein3-skew-locked-seed5,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0
seed6__baseline-no-lock__to__cntvaluein3-skew-locked,6,baseline-no-lock-seed-6,cntvaluein3-skew-locked-seed6,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane0,pass,2,0,0,0
seed11__baseline-no-lock__to__cntvaluein3-skew-locked,11,baseline-no-lock-seed-11,cntvaluein3-skew-locked-seed11,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane0,pass,2,0,0,0
seed12__baseline-no-lock__to__cntvaluein3-skew-locked,12,baseline-no-lock-seed-12,cntvaluein3-skew-locked-seed12-long-poll,baseline-no-lock,cntvaluein3-skew-locked,False,False,fail_to_fail,fail_abort2_lane0,fail_no_abort_or_startup,2,0,0,0
seed16__baseline-no-lock__to__cntvaluein3-skew-locked,16,baseline-no-lock-seed-16,cntvaluein3-skew-locked-seed16-long-poll,baseline-no-lock,cntvaluein3-skew-locked,False,False,fail_to_fail,fail_no_abort_or_startup,fail_abort2_lane0,0,2,0,0
seed20__baseline-no-lock__to__cntvaluein3-skew-locked,20,baseline-no-lock-seed-20,cntvaluein3-skew-locked-seed20,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane0,pass,2,0,0,0
seed23__baseline-no-lock__to__cntvaluein3-skew-locked,23,baseline-no-lock-seed-23,cntvaluein3-skew-locked-seed23-long-poll,baseline-no-lock,cntvaluein3-skew-locked,False,False,fail_to_fail,fail_abort2_lane0,fail_abort2_lane0,2,2,0,0
seed27__baseline-no-lock__to__cntvaluein3-skew-locked,27,baseline-no-lock-seed-27,cntvaluein3-skew-locked-seed27,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane0,pass,2,0,0,0
seed28__baseline-no-lock__to__cntvaluein3-skew-locked,28,baseline-no-lock-seed-28,cntvaluein3-skew-locked-seed28-long-poll,baseline-no-lock,cntvaluein3-skew-locked,True,False,pass_to_fail,pass,fail_abort2_lane0,0,2,0,0
seed30__baseline-no-lock__to__cntvaluein3-skew-locked,30,baseline-no-lock-seed-30,cntvaluein3-skew-locked-seed30-long-poll,baseline-no-lock,cntvaluein3-skew-locked,True,False,pass_to_fail,pass,fail_abort2_lane0,0,2,0,0
seed31__baseline-no-lock__to__cntvaluein3-skew-locked,31,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_bist_or_wrong_read,pass,0,0,0,0
seed32__baseline-no-lock__to__cntvaluein3-skew-locked,32,baseline-no-lock-seed-32,cntvaluein3-skew-locked-seed-32,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane0,pass,2,0,0,0
