feature_key,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pairs,fail_to_pass_n,fail_to_pass_median_delta,fail_to_pass_median_delta_abs,fail_to_pass_abs_improved,fail_to_pass_abs_worsened,fail_to_pass_sign_flip,pass_to_fail_n,pass_to_fail_median_delta,pass_to_fail_median_delta_abs,pass_to_fail_abs_improved,pass_to_fail_abs_worsened,pass_to_fail_sign_flip,fail_to_fail_n,fail_to_fail_median_delta,fail_to_fail_median_delta_abs,fail_to_fail_abs_improved,fail_to_fail_abs_worsened,fail_to_fail_sign_flip,pass_to_pass_n,pass_to_pass_median_delta,pass_to_pass_median_delta_abs,pass_to_pass_abs_improved,pass_to_pass_abs_worsened,pass_to_pass_sign_flip,transition_delta_contrast,transition_abs_delta_contrast,contrast_score
skew::abs_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,skew,abs_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,abs_idelayctrl_minus_reset_release,startup_relative_skew,all,,,idelayctrl_vs_reset,43,18,-51.5,-51.5,9,9,0,10,-514.0,-514.0,8,2,0,6,-270.0,-270.0,4,2,0,9,-420.0,-420.0,5,4,0,-462.5,-462.5,693.75
skew::signed_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,skew,signed_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,signed_idelayctrl_minus_reset_release,startup_relative_skew,all,,,idelayctrl_vs_reset,43,18,-51.5,-51.5,9,9,0,10,-514.0,-514.0,8,2,0,6,-270.0,-270.0,4,2,0,9,-420.0,-420.0,5,4,0,-462.5,-462.5,693.75
sdf::direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_0__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq10,0,endpoint,43,18,-362.5,-362.5,12,6,0,10,97.0,97.0,4,6,0,6,-383.5,-383.5,4,2,0,9,-647.0,-647.0,8,1,0,459.5,459.5,689.25
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,2,dqs_vs_dq_bit,43,18,8.0,124.5,6,12,11,10,551.5,-136.0,8,2,4,6,2.5,-255.5,5,1,4,9,268.0,-178.0,5,4,4,543.5,-260.5,673.75
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,0,dqs_vs_dq_bit,43,18,145.5,-107.5,12,6,5,10,-475.0,-46.5,6,4,5,6,43.5,-167.5,5,1,1,9,581.0,129.0,2,7,6,-620.5,61.0,651.0
sdf::direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,sdf,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq5,,endpoint,43,18,305.0,305.0,6,12,0,10,-125.5,-125.5,7,3,0,6,86.5,86.5,3,3,0,9,349.0,349.0,2,7,0,-430.5,-430.5,645.75
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,dqs_vs_dq_bit,43,18,232.0,-179.5,12,6,10,10,-298.0,10.5,5,5,4,6,-75.0,48.0,3,3,1,9,437.0,94.0,4,5,7,-530.0,190.0,625.0
sdf::direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps,sdf,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq9,,endpoint,43,18,-166.0,-166.0,11,7,0,10,-551.5,-551.5,8,2,0,6,-36.5,-36.5,3,3,0,9,-296.0,-296.0,6,3,0,-385.5,-385.5,578.25
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,dqs_vs_dq_bit,43,18,134.5,7.0,9,9,9,10,-391.5,-96.0,6,4,4,6,52.0,-100.5,4,2,3,9,495.0,209.0,3,6,7,-526.0,-103.0,577.5
sdf::direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_4__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq10,4,endpoint,43,18,-163.0,-163.0,10,8,0,10,220.5,220.5,4,6,0,6,-539.5,-539.5,5,1,0,9,-249.0,-249.0,8,1,0,383.5,383.5,575.25
