model,feature_key,column,test_auc_drop_mean,test_auc_drop_max,test_accuracy_drop_mean,test_accuracy_drop_max
train_baseline_all_test_locked_all,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq12_ctrl_4_dqs_vs_dq_bit_value_ps,0.198966,0.314815,0.061047,0.186047
train_baseline_all_test_locked_all,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_4__dqs_vs_dq_bit__value_ps,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq8_ctrl_4_dqs_vs_dq_bit_value_ps,0.135923,0.25,-0.00218,0.093023
train_baseline_all_test_locked_all,skew::abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane0_no_bit_ctrl_1_ld_vs_cntvaluein_dq_lane_value_ps,0.104673,0.189815,0.006904,0.093023
train_baseline_all_test_locked_all,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_1__dqs_vs_dq_bit__value_ps,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq11_ctrl_1_dqs_vs_dq_bit_value_ps,0.060113,0.145833,-0.024346,0.046512
train_baseline_all_test_locked_all,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_4__dqs_vs_dq_bit__value_ps,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq6_ctrl_4_dqs_vs_dq_bit_value_ps,0.04163,0.092593,-0.034157,0.023256
train_baseline_31_60_test_baseline_1_30,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_4__dqs_vs_dq_bit__value_ps,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq8_ctrl_4_dqs_vs_dq_bit_value_ps,0.035511,0.102273,0.076563,0.166667
train_baseline_31_60_test_baseline_1_30,skew::abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane0_no_bit_ctrl_1_ld_vs_cntvaluein_dq_lane_value_ps,0.035156,0.113636,0.054167,0.166667
train_baseline_1_30_test_baseline_31_60,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_4__dqs_vs_dq_bit__value_ps,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq0_ctrl_4_dqs_vs_dq_bit_value_ps,0.024344,0.0625,0.0,0.066667
train_baseline_31_60_test_baseline_1_30,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq12_ctrl_4_dqs_vs_dq_bit_value_ps,0.023171,0.102273,0.071354,0.166667
train_baseline_31_60_test_baseline_1_30,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_1__dqs_vs_dq_bit__value_ps,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq11_ctrl_1_dqs_vs_dq_bit_value_ps,0.0182,0.102273,0.046875,0.133333
train_baseline_1_30_test_baseline_31_60,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_4__dqs_vs_dq_bit__value_ps,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq2_ctrl_4_dqs_vs_dq_bit_value_ps,0.015625,0.049107,-0.017187,0.033333
train_baseline_1_30_test_baseline_31_60,skew::abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane0_no_bit_ctrl_1_ld_vs_cntvaluein_dq_lane_value_ps,0.012626,0.133929,-0.005729,0.166667
train_baseline_1_30_test_baseline_31_60,skew::abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_4__dqs_vs_dq_lane__value_ps,skew_abs_dqs_minus_dq_median_idelay_cntvaluein_skew_lane0_dqs0_ctrl_4_dqs_vs_dq_lane_value_ps,0.006836,0.026786,-0.015625,0.0
train_baseline_31_60_test_baseline_1_30,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_4__dqs_vs_dq_bit__value_ps,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq0_ctrl_4_dqs_vs_dq_bit_value_ps,0.003107,0.051136,0.011458,0.066667
train_baseline_1_30_test_baseline_31_60,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_1__dqs_vs_dq_bit__value_ps,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq11_ctrl_1_dqs_vs_dq_bit_value_ps,0.001046,0.017857,-0.009896,0.0
train_baseline_31_60_test_baseline_1_30,skew::abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_4__dqs_vs_dq_lane__value_ps,skew_abs_dqs_minus_dq_median_idelay_cntvaluein_skew_lane0_dqs0_ctrl_4_dqs_vs_dq_lane_value_ps,0.000621,0.017045,-0.009375,0.0
train_baseline_1_30_test_baseline_31_60,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq12_ctrl_4_dqs_vs_dq_bit_value_ps,-0.006487,0.026786,-0.020833,0.033333
train_baseline_all_test_locked_all,skew::abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_4__dqs_vs_dq_lane__value_ps,skew_abs_dqs_minus_dq_median_idelay_cntvaluein_skew_lane1_dqs1_ctrl_4_dqs_vs_dq_lane_value_ps,-0.009115,0.011574,-0.037427,0.0
train_baseline_1_30_test_baseline_31_60,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_4__dqs_vs_dq_bit__value_ps,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq10_ctrl_4_dqs_vs_dq_bit_value_ps,-0.0113,0.017857,-0.024479,0.0
