x_ps,y_ps,pass_x_ps,pass_y_ps,fail_x_ps,fail_y_ps,seed,run_group,variant,abort_reason,experiment_id
-86.0,-120.0,-86.0,-120.0,,,1,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-1
-99.0,-186.0,-99.0,-186.0,,,10,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-10
-335.5,-120.0,,,-335.5,-120.0,11,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-11
-212.0,66.0,,,-212.0,66.0,12,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-12
-198.5,153.0,-198.5,153.0,,,13,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-13
-478.0,341.0,-478.0,341.0,,,14,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-14
-125.5,-207.0,-125.5,-207.0,,,15,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-15
-439.5,-91.0,,,-439.5,-91.0,16,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-16
-572.0,46.0,-572.0,46.0,,,17,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-17
-181.0,0.0,-181.0,0.0,,,18,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-18
-119.0,-1.0,-119.0,-1.0,,,19,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-19
-214.5,-59.0,,,-214.5,-59.0,2,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-2
-244.0,-142.0,,,-244.0,-142.0,20,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-20
-333.0,576.0,-333.0,576.0,,,21,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-21
-272.0,89.0,-272.0,89.0,,,22,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-22
-453.5,750.0,,,-453.5,750.0,23,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-23
-465.0,-111.0,-465.0,-111.0,,,24,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-24
-287.5,537.0,-287.5,537.0,,,25,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-25
-259.0,152.0,-259.0,152.0,,,26,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-26
-270.5,-260.0,,,-270.5,-260.0,27,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-27
-472.5,-438.0,-472.5,-438.0,,,28,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-28
-710.0,-135.0,-710.0,-135.0,,,29,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-29
-323.5,-77.0,-323.5,-77.0,,,3,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-3
-416.5,331.0,-416.5,331.0,,,30,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-30
-232.0,133.0,-232.0,133.0,,,4,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-4
-537.5,-189.0,-537.5,-189.0,,,5,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-5
-367.5,697.0,,,-367.5,697.0,6,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-6
-527.5,-779.0,-527.5,-779.0,,,7,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-7
-317.5,-329.0,-317.5,-329.0,,,8,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-8
-356.0,314.0,-356.0,314.0,,,9,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-9
-375.0,-741.0,,,-375.0,-741.0,31,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-31
-117.0,-130.0,,,-117.0,-130.0,32,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-32
-243.0,-74.0,-243.0,-74.0,,,33,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-33
-301.5,25.0,,,-301.5,25.0,34,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-34
-274.5,-242.0,-274.5,-242.0,,,35,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-35
-124.0,-421.0,-124.0,-421.0,,,36,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-36
-329.5,-194.0,,,-329.5,-194.0,37,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-37
-182.5,-337.0,,,-182.5,-337.0,38,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-38
-690.0,161.0,-690.0,161.0,,,39,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-39
-213.0,-437.0,,,-213.0,-437.0,40,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-40
-319.0,-244.0,,,-319.0,-244.0,41,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-41
-11.5,-73.0,,,-11.5,-73.0,42,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-42
-303.5,444.0,-303.5,444.0,,,43,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-43
-288.0,418.0,,,-288.0,418.0,44,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-44
-164.5,-190.0,,,-164.5,-190.0,45,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-45
-281.5,-515.0,-281.5,-515.0,,,46,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-46
-346.5,-214.0,,,-346.5,-214.0,47,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-47
-430.5,602.0,-430.5,602.0,,,48,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-48
-243.5,-194.0,-243.5,-194.0,,,49,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-49
-388.0,536.0,-388.0,536.0,,,50,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-50
-330.5,606.0,-330.5,606.0,,,51,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-51
-402.5,-308.0,-402.5,-308.0,,,52,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-52
-294.5,-266.0,-294.5,-266.0,,,53,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-53
-361.0,-169.0,,,-361.0,-169.0,54,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-54
-299.0,-74.0,,,-299.0,-74.0,55,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-55
-281.5,102.0,-281.5,102.0,,,56,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-56
-222.0,-582.0,,,-222.0,-582.0,57,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-57
-223.0,-118.0,,,-223.0,-118.0,58,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-58
-167.5,-334.0,-167.5,-334.0,,,59,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-59
-32.5,-393.0,,,-32.5,-393.0,60,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-60
-360.5,-577.0,-360.5,-577.0,,,31,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-31
-337.5,89.0,-337.5,89.0,,,32,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-32
-328.0,-602.0,,,-328.0,-602.0,33,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-33
-509.0,103.0,-509.0,103.0,,,34,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-34
-340.5,292.0,-340.5,292.0,,,35,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-35
297.5,-934.0,,,297.5,-934.0,36,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-36
-207.5,64.0,-207.5,64.0,,,37,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-37
-357.5,-100.0,-357.5,-100.0,,,38,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-38
-2.0,8.0,,,-2.0,8.0,39,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-39
142.5,-452.0,142.5,-452.0,,,40,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-40
78.0,-25.0,,,78.0,-25.0,41,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-41
-260.0,-28.0,-260.0,-28.0,,,42,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-42
-318.5,-28.0,-318.5,-28.0,,,43,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-43
-470.5,-146.0,-470.5,-146.0,,,44,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-44
-317.5,-142.0,,,-317.5,-142.0,45,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-45
-552.5,547.0,-552.5,547.0,,,46,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-46
-458.0,-484.0,-458.0,-484.0,,,47,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-47
-240.5,-57.0,,,-240.5,-57.0,48,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-48
-49.5,-110.0,-49.5,-110.0,,,49,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-49
-268.5,68.0,,,-268.5,68.0,50,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-50
-316.5,-243.0,,,-316.5,-243.0,51,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-51
-273.5,-538.0,,,-273.5,-538.0,52,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-52
-313.5,-250.0,,,-313.5,-250.0,53,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-53
-504.0,89.0,-504.0,89.0,,,54,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-54
-631.5,-66.0,-631.5,-66.0,,,55,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-55
-50.0,-326.0,-50.0,-326.0,,,56,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-56
-300.5,-451.0,-300.5,-451.0,,,57,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-57
50.0,240.0,50.0,240.0,,,58,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-58
-12.0,233.0,-12.0,233.0,,,59,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-59
-428.0,-204.0,,,-428.0,-204.0,60,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-60
-256.0,415.0,-256.0,415.0,,,1,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed1
-302.0,-125.0,-302.0,-125.0,,,11,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed11
-378.0,-601.0,,,-378.0,-601.0,12,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed12-long-poll
-179.5,-60.0,,,-179.5,-60.0,16,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed16-long-poll
-264.0,460.0,-264.0,460.0,,,20,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed20
-170.0,463.0,,,-170.0,463.0,23,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed23-long-poll
-329.0,-385.0,-329.0,-385.0,,,27,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed27
-288.5,656.0,,,-288.5,656.0,28,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed28-long-poll
-194.0,9.0,,,-194.0,9.0,30,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed30-long-poll
-494.0,563.0,-494.0,563.0,,,5,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed5
-581.5,217.0,-581.5,217.0,,,6,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed6
-175.5,186.0,-175.5,186.0,,,2,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed2
-125.5,1016.0,-125.5,1016.0,,,3,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed3
