x_ps,y_ps,pass_x_ps,pass_y_ps,fail_x_ps,fail_y_ps,seed,run_group,variant,abort_reason,experiment_id
227.0,-120.0,227.0,-120.0,,,1,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-1
138.0,-186.0,138.0,-186.0,,,10,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-10
276.0,-120.0,,,276.0,-120.0,11,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-11
151.0,66.0,,,151.0,66.0,12,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-12
128.0,153.0,128.0,153.0,,,13,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-13
588.0,341.0,588.0,341.0,,,14,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-14
219.0,-207.0,219.0,-207.0,,,15,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-15
444.0,-91.0,,,444.0,-91.0,16,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-16
547.0,46.0,547.0,46.0,,,17,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-17
327.0,0.0,327.0,0.0,,,18,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-18
177.0,-1.0,177.0,-1.0,,,19,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-19
430.0,-59.0,,,430.0,-59.0,2,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-2
288.0,-142.0,,,288.0,-142.0,20,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-20
227.0,576.0,227.0,576.0,,,21,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-21
247.0,89.0,247.0,89.0,,,22,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-22
