x_ps,y_ps,pass_x_ps,pass_y_ps,fail_x_ps,fail_y_ps,seed,run_group,variant,abort_reason,experiment_id
-120.0,688.0,-120.0,688.0,,,1,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-1
-186.0,637.0,-186.0,637.0,,,10,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-10
-120.0,477.0,,,-120.0,477.0,11,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-11
66.0,358.0,,,66.0,358.0,12,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-12
153.0,292.0,153.0,292.0,,,13,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-13
341.0,243.0,341.0,243.0,,,14,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-14
-207.0,334.0,-207.0,334.0,,,15,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-15
-91.0,709.0,,,-91.0,709.0,16,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-16
46.0,693.0,46.0,693.0,,,17,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-17
0.0,192.0,0.0,192.0,,,18,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-18
-1.0,417.0,-1.0,417.0,,,19,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-19
-59.0,495.0,,,-59.0,495.0,2,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-2
-142.0,477.0,,,-142.0,477.0,20,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-20
576.0,509.0,576.0,509.0,,,21,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-21
89.0,261.0,89.0,261.0,,,22,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-22
750.0,627.0,,,750.0,627.0,23,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-23
-111.0,435.0,-111.0,435.0,,,24,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-24
537.0,230.0,537.0,230.0,,,25,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-25
152.0,239.0,152.0,239.0,,,26,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-26
-260.0,378.0,,,-260.0,378.0,27,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-27
-438.0,465.0,-438.0,465.0,,,28,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-28
-135.0,448.0,-135.0,448.0,,,29,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-29
-77.0,352.0,-77.0,352.0,,,3,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-3
331.0,319.0,331.0,319.0,,,30,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-30
133.0,383.0,133.0,383.0,,,4,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-4
-189.0,471.0,-189.0,471.0,,,5,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-5
697.0,512.0,,,697.0,512.0,6,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-6
-779.0,454.0,-779.0,454.0,,,7,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-7
-329.0,675.0,-329.0,675.0,,,8,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-8
314.0,227.0,314.0,227.0,,,9,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-9
-741.0,474.0,,,-741.0,474.0,31,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-31
-130.0,230.0,,,-130.0,230.0,32,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-32
-74.0,316.0,-74.0,316.0,,,33,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-33
25.0,214.0,,,25.0,214.0,34,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-34
-242.0,717.0,-242.0,717.0,,,35,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-35
-421.0,310.0,-421.0,310.0,,,36,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-36
-194.0,304.0,,,-194.0,304.0,37,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-37
-337.0,562.0,,,-337.0,562.0,38,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-38
161.0,224.0,161.0,224.0,,,39,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-39
-437.0,558.0,,,-437.0,558.0,40,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-40
-244.0,462.0,,,-244.0,462.0,41,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-41
-73.0,395.0,,,-73.0,395.0,42,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-42
444.0,194.0,444.0,194.0,,,43,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-43
418.0,215.0,,,418.0,215.0,44,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-44
-190.0,330.0,,,-190.0,330.0,45,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-45
-515.0,619.0,-515.0,619.0,,,46,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-46
-214.0,358.0,,,-214.0,358.0,47,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-47
602.0,543.0,602.0,543.0,,,48,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-48
-194.0,327.0,-194.0,327.0,,,49,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-49
536.0,614.0,536.0,614.0,,,50,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-50
606.0,643.0,606.0,643.0,,,51,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-51
-308.0,219.0,-308.0,219.0,,,52,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-52
-266.0,617.0,-266.0,617.0,,,53,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-53
-169.0,319.0,,,-169.0,319.0,54,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-54
-74.0,334.0,,,-74.0,334.0,55,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-55
102.0,256.0,102.0,256.0,,,56,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-56
-582.0,255.0,,,-582.0,255.0,57,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-57
-118.0,435.0,,,-118.0,435.0,58,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-58
-334.0,585.0,-334.0,585.0,,,59,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-59
-393.0,222.0,,,-393.0,222.0,60,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-60
-577.0,711.0,-577.0,711.0,,,31,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-31
89.0,612.0,89.0,612.0,,,32,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-32
-602.0,158.0,,,-602.0,158.0,33,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-33
103.0,429.0,103.0,429.0,,,34,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-34
292.0,598.0,292.0,598.0,,,35,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-35
-934.0,312.0,,,-934.0,312.0,36,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-36
64.0,591.0,64.0,591.0,,,37,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-37
-100.0,487.0,-100.0,487.0,,,38,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-38
8.0,522.0,,,8.0,522.0,39,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-39
-452.0,431.0,-452.0,431.0,,,40,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-40
-25.0,395.0,,,-25.0,395.0,41,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-41
-28.0,556.0,-28.0,556.0,,,42,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-42
-28.0,390.0,-28.0,390.0,,,43,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-43
-146.0,250.0,-146.0,250.0,,,44,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-44
-142.0,277.0,,,-142.0,277.0,45,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-45
547.0,285.0,547.0,285.0,,,46,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-46
-484.0,317.0,-484.0,317.0,,,47,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-47
-57.0,330.0,,,-57.0,330.0,48,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-48
-110.0,469.0,-110.0,469.0,,,49,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-49
68.0,331.0,,,68.0,331.0,50,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-50
-243.0,535.0,,,-243.0,535.0,51,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-51
-538.0,653.0,,,-538.0,653.0,52,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-52
-250.0,429.0,,,-250.0,429.0,53,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-53
89.0,175.0,89.0,175.0,,,54,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-54
-66.0,339.0,-66.0,339.0,,,55,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-55
-326.0,220.0,-326.0,220.0,,,56,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-56
-451.0,653.0,-451.0,653.0,,,57,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-57
240.0,439.0,240.0,439.0,,,58,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-58
233.0,707.0,233.0,707.0,,,59,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-59
-204.0,311.0,,,-204.0,311.0,60,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-60
415.0,226.0,415.0,226.0,,,1,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed1
-125.0,631.0,-125.0,631.0,,,11,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed11
-601.0,549.0,,,-601.0,549.0,12,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed12-long-poll
-60.0,585.0,,,-60.0,585.0,16,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed16-long-poll
460.0,847.0,460.0,847.0,,,20,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed20
463.0,442.0,,,463.0,442.0,23,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed23-long-poll
-385.0,408.0,-385.0,408.0,,,27,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed27
656.0,480.0,,,656.0,480.0,28,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed28-long-poll
9.0,452.0,,,9.0,452.0,30,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed30-long-poll
563.0,527.0,563.0,527.0,,,5,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed5
217.0,535.0,217.0,535.0,,,6,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed6
186.0,353.0,186.0,353.0,,,2,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed2
1016.0,634.0,1016.0,634.0,,,3,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed3
