x_ps,y_ps,pass_x_ps,pass_y_ps,fail_x_ps,fail_y_ps,seed,run_group,variant,abort_reason,experiment_id
602.0,141.0,602.0,141.0,,,1,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-1
615.0,153.0,615.0,153.0,,,10,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-10
227.0,301.0,,,227.0,301.0,11,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-11
492.0,117.0,,,492.0,117.0,12,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-12
518.0,164.0,518.0,164.0,,,13,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-13
615.0,198.0,615.0,198.0,,,14,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-14
683.0,17.0,683.0,17.0,,,15,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-15
701.0,480.0,,,701.0,480.0,16,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-16
995.0,809.0,995.0,809.0,,,17,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-17
386.0,23.0,386.0,23.0,,,18,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-18
324.0,351.0,324.0,351.0,,,19,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-19
625.0,707.0,,,625.0,707.0,2,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-2
291.0,421.0,,,291.0,421.0,20,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-20
544.0,11.0,544.0,11.0,,,21,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-21
729.0,66.0,729.0,66.0,,,22,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-22
439.0,230.0,,,439.0,230.0,23,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-23
408.0,97.0,408.0,97.0,,,24,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-24
596.0,254.0,596.0,254.0,,,25,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-25
511.0,10.0,511.0,10.0,,,26,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-26
314.0,400.0,,,314.0,400.0,27,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-27
668.0,179.0,668.0,179.0,,,28,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-28
436.0,56.0,436.0,56.0,,,29,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-29
1075.0,53.0,1075.0,53.0,,,3,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-3
552.0,143.0,552.0,143.0,,,30,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-30
579.0,140.0,579.0,140.0,,,4,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-4
513.0,139.0,513.0,139.0,,,5,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-5
808.0,326.0,,,808.0,326.0,6,baseline_no_lock_seed_1_30,baseline-no-lock,2,baseline-no-lock-seed-6
272.0,214.0,272.0,214.0,,,7,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-7
370.0,317.0,370.0,317.0,,,8,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-8
824.0,265.0,824.0,265.0,,,9,baseline_no_lock_seed_1_30,baseline-no-lock,0,baseline-no-lock-seed-9
442.0,80.0,,,442.0,80.0,31,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-31
606.0,145.0,,,606.0,145.0,32,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-32
375.0,105.0,375.0,105.0,,,33,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-33
349.0,178.0,,,349.0,178.0,34,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,baseline-no-lock-seed-34
696.0,219.0,696.0,219.0,,,35,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,baseline-no-lock-seed-35
