plot,dat,gp,png,feature_x_key,feature_y_key,feature_x,feature_y,x_direction,x_threshold_ps,operator,y_direction,y_threshold_ps,balanced_accuracy,accuracy,tp_fail_pred_fail,tn_pass_pred_pass,false_fail_pass_points,false_pass_fail_points,errors,samples,fails,passes
pair_01_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_skew_signed_dqs_minus_dq_bit_idelay_cntva,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_01_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_skew_signed_dqs_minus_dq_bit_idelay_cntva.dat,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_01_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_skew_signed_dqs_minus_dq_bit_idelay_cntva.gp,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_01_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_skew_signed_dqs_minus_dq_bit_idelay_cntva.png,skew::signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,ge,-441.85,and,le,73.35,0.72364,0.688679,36,37,28,5,33,106,41,65
pair_02_skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane0_no_bit_ctrl_1_ld_vs_cntvaluein_dq_lane_value_ps_VS_direct_control_fanout_spread_i,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_02_skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane0_no_bit_ctrl_1_ld_vs_cntvaluein_dq_lane_value_ps_VS_direct_control_fanout_spread_i.dat,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_02_skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane0_no_bit_ctrl_1_ld_vs_cntvaluein_dq_lane_value_ps_VS_direct_control_fanout_spread_i.gp,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_02_skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane0_no_bit_ctrl_1_ld_vs_cntvaluein_dq_lane_value_ps_VS_direct_control_fanout_spread_i.png,skew::abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,direct::control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,le,421.823913,and,le,381.917391,0.721013,0.707547,32,43,22,9,31,106,41,65
pair_03_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_direct_control_fanout_spread_idelay_data_,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_03_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_direct_control_fanout_spread_idelay_data_.dat,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_03_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_direct_control_fanout_spread_idelay_data_.gp,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_03_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_direct_control_fanout_spread_idelay_data_.png,skew::signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,direct::control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_4__lane_control_bit__value_ps,signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_4__lane_control_bit__value_ps,ge,-406.092391,and,le,589.342391,0.72045,0.679245,37,35,30,4,34,106,41,65
pair_04_direct_control_fanout_spread_idelay_data_cntvaluein_lane0_no_bit_ctrl_2_lane_control_bit_value_ps_VS_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_04_direct_control_fanout_spread_idelay_data_cntvaluein_lane0_no_bit_ctrl_2_lane_control_bit_value_ps_VS_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew.dat,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_04_direct_control_fanout_spread_idelay_data_cntvaluein_lane0_no_bit_ctrl_2_lane_control_bit_value_ps_VS_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew.gp,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_04_direct_control_fanout_spread_idelay_data_cntvaluein_lane0_no_bit_ctrl_2_lane_control_bit_value_ps_VS_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew.png,direct::control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,le,381.917391,and,le,73.35,0.71651,0.707547,31,44,21,10,31,106,41,65
pair_05_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_skew_abs_dqs_minus_dq_bit_idelay_cntvalue,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_05_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_skew_abs_dqs_minus_dq_bit_idelay_cntvalue.dat,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_05_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_skew_abs_dqs_minus_dq_bit_idelay_cntvalue.gp,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_05_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_skew_abs_dqs_minus_dq_bit_idelay_cntvalue.png,skew::signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,ge,-441.85,and,ge,321.880435,0.71576,0.745283,24,55,10,17,27,106,41,65
pair_06_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq13_ctrl_0_dqs_vs_dq_bit_value_ps_VS_direct_control_fanout_spread_idelay_data_cntvaluein_lane,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_06_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq13_ctrl_0_dqs_vs_dq_bit_value_ps_VS_direct_control_fanout_spread_idelay_data_cntvaluein_lane.dat,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_06_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq13_ctrl_0_dqs_vs_dq_bit_value_ps_VS_direct_control_fanout_spread_idelay_data_cntvaluein_lane.gp,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_06_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq13_ctrl_0_dqs_vs_dq_bit_value_ps_VS_direct_control_fanout_spread_idelay_data_cntvaluein_lane.png,skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,direct::control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_4__lane_control_bit__value_ps,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_4__lane_control_bit__value_ps,le,73.35,and,le,589.342391,0.714634,0.688679,34,39,26,7,33,106,41,65
pair_07_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq11_ctrl_1_dqs_vs_dq_bit_value_ps_VS_skew_abs_lane1_minus_lane0_dqs_idelay_cntvaluein_skew_all_n,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_07_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq11_ctrl_1_dqs_vs_dq_bit_value_ps_VS_skew_abs_lane1_minus_lane0_dqs_idelay_cntvaluein_skew_all_n.dat,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_07_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq11_ctrl_1_dqs_vs_dq_bit_value_ps_VS_skew_abs_lane1_minus_lane0_dqs_idelay_cntvaluein_skew_all_n.gp,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_07_skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq11_ctrl_1_dqs_vs_dq_bit_value_ps_VS_skew_abs_lane1_minus_lane0_dqs_idelay_cntvaluein_skew_all_n.png,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_1__dqs_vs_dq_bit__value_ps,skew::abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_1__dqs_vs_dq_bit__value_ps,abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,le,87.656522,or,le,201.143478,0.713884,0.726415,27,50,15,14,29,106,41,65
pair_08_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_skew_dq_lane_range_idelay_cntvaluein_skew,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_08_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_skew_dq_lane_range_idelay_cntvaluein_skew.dat,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_08_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_skew_dq_lane_range_idelay_cntvaluein_skew.gp,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_08_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_2_lane1_vs_lane0_dq_value_ps_VS_skew_dq_lane_range_idelay_cntvaluein_skew.png,skew::signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,skew::dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_4__dq_lane__value_ps,signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_4__dq_lane__value_ps,ge,-406.092391,and,le,592.027174,0.712758,0.669811,37,34,31,4,35,106,41,65
pair_09_direct_cntvaluein_bus_skew_idelay_data_cntvaluein_lane1_dq10_ctrl_none_dq10_value_ps_VS_skew_abs_lane1_minus_lane0_dqs_idelay_cntvaluein_skew_all_no_bit,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_09_direct_cntvaluein_bus_skew_idelay_data_cntvaluein_lane1_dq10_ctrl_none_dq10_value_ps_VS_skew_abs_lane1_minus_lane0_dqs_idelay_cntvaluein_skew_all_no_bit.dat,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_09_direct_cntvaluein_bus_skew_idelay_data_cntvaluein_lane1_dq10_ctrl_none_dq10_value_ps_VS_skew_abs_lane1_minus_lane0_dqs_idelay_cntvaluein_skew_all_no_bit.gp,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_09_direct_cntvaluein_bus_skew_idelay_data_cntvaluein_lane1_dq10_ctrl_none_dq10_value_ps_VS_skew_abs_lane1_minus_lane0_dqs_idelay_cntvaluein_skew_all_no_bit.png,direct::cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq10__ctrl_none__dq10__value_ps,skew::abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq10__ctrl_none__dq10__value_ps,abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,le,493.408696,or,le,201.143478,0.712008,0.707547,30,45,20,11,31,106,41,65
pair_10_skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane0_no_bit_ctrl_1_ld_vs_cntvaluein_dq_lane_value_ps_VS_skew_abs_dqs_minus_dq_bit_idel,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_10_skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane0_no_bit_ctrl_1_ld_vs_cntvaluein_dq_lane_value_ps_VS_skew_abs_dqs_minus_dq_bit_idel.dat,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_10_skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane0_no_bit_ctrl_1_ld_vs_cntvaluein_dq_lane_value_ps_VS_skew_abs_dqs_minus_dq_bit_idel.gp,artifacts/statistical-sdf/multivariate-ddr3-causality-analysis/pairwise-scatter-plots/pair_10_skew_abs_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane0_no_bit_ctrl_1_ld_vs_cntvaluein_dq_lane_value_ps_VS_skew_abs_dqs_minus_dq_bit_idel.png,skew::abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,le,458.193478,and,le,388.778261,0.710131,0.688679,33,40,25,8,33,106,41,65
