capture_lane_score_z,ld_score_z,pass_capture_lane_score_z,pass_ld_score_z,fail_capture_lane_score_z,fail_ld_score_z,combined_score_z,seed,variant,abort_reason,experiment_id
0.524814,-1.101433,0.524814,-1.101433,,,-0.576619,1,baseline-no-lock,0,baseline-no-lock-seed-1
2.348188,0.199074,,,2.348188,0.199074,2.547262,2,baseline-no-lock,2,baseline-no-lock-seed-2
-1.300251,0.140424,-1.300251,0.140424,,,-1.159826,3,baseline-no-lock,0,baseline-no-lock-seed-3
-0.353895,-0.027877,-0.353895,-0.027877,,,-0.381772,4,baseline-no-lock,0,baseline-no-lock-seed-4
-2.187559,-1.244234,-2.187559,-1.244234,,,-3.431793,5,baseline-no-lock,0,baseline-no-lock-seed-5
-0.313131,0.461726,,,-0.313131,0.461726,0.148595,6,baseline-no-lock,2,baseline-no-lock-seed-6
-1.784128,-0.813281,-1.784128,-0.813281,,,-2.59741,7,baseline-no-lock,0,baseline-no-lock-seed-7
-0.054999,-1.177934,-0.054999,-1.177934,,,-1.232933,8,baseline-no-lock,0,baseline-no-lock-seed-8
-0.523707,1.035479,-0.523707,1.035479,,,0.511773,9,baseline-no-lock,0,baseline-no-lock-seed-9
0.50195,-0.354279,0.50195,-0.354279,,,0.147672,10,baseline-no-lock,0,baseline-no-lock-seed-10
-0.236061,0.823828,,,-0.236061,0.823828,0.587767,11,baseline-no-lock,2,baseline-no-lock-seed-11
-0.339509,-0.665381,,,-0.339509,-0.665381,-1.00489,12,baseline-no-lock,2,baseline-no-lock-seed-12
-0.043385,-0.002377,-0.043385,-0.002377,,,-0.045762,13,baseline-no-lock,0,baseline-no-lock-seed-13
-1.561055,-1.024933,-1.561055,-1.024933,,,-2.585988,14,baseline-no-lock,0,baseline-no-lock-seed-14
-0.279697,-1.374285,-0.279697,-1.374285,,,-1.653982,15,baseline-no-lock,0,baseline-no-lock-seed-15
-0.038767,0.023123,,,-0.038767,0.023123,-0.015643,16,baseline-no-lock,0,baseline-no-lock-seed-16
0.675012,-0.122227,0.675012,-0.122227,,,0.552784,17,baseline-no-lock,0,baseline-no-lock-seed-17
-0.584501,-1.379385,-0.584501,-1.379385,,,-1.963886,18,baseline-no-lock,0,baseline-no-lock-seed-18
1.289203,0.204174,1.289203,0.204174,,,1.493377,19,baseline-no-lock,0,baseline-no-lock-seed-19
0.861461,0.025673,,,0.861461,0.025673,0.887134,20,baseline-no-lock,2,baseline-no-lock-seed-20
-1.549522,0.461726,-1.549522,0.461726,,,-1.087796,21,baseline-no-lock,0,baseline-no-lock-seed-21
-0.93236,-1.037683,-0.93236,-1.037683,,,-1.970043,22,baseline-no-lock,0,baseline-no-lock-seed-22
-1.267784,1.300681,,,-1.267784,1.300681,0.032897,23,baseline-no-lock,2,baseline-no-lock-seed-23
-1.945882,0.701427,-1.945882,0.701427,,,-1.244454,24,baseline-no-lock,0,baseline-no-lock-seed-24
-0.163973,0.471926,-0.163973,0.471926,,,0.307953,25,baseline-no-lock,0,baseline-no-lock-seed-25
-1.111051,-0.270128,-1.111051,-0.270128,,,-1.38118,26,baseline-no-lock,0,baseline-no-lock-seed-26
0.606604,0.558627,,,0.606604,0.558627,1.16523,27,baseline-no-lock,2,baseline-no-lock-seed-27
-1.615161,-0.040627,-1.615161,-0.040627,,,-1.655788,28,baseline-no-lock,0,baseline-no-lock-seed-28
-3.600553,0.186324,-3.600553,0.186324,,,-3.414229,29,baseline-no-lock,0,baseline-no-lock-seed-29
-1.444787,-0.991782,-1.444787,-0.991782,,,-2.43657,30,baseline-no-lock,0,baseline-no-lock-seed-30
-0.266058,-0.767381,,,-0.266058,-0.767381,-1.033439,12,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed12-long-poll
