experiment_id,seed,run_group,variant,abort_reason,status,lane_mismatch_ps,dqs_dq_ps,ld_cntvaluein_ps,capture_lane_score_z,ld_score_z,combined_score_z
baseline-no-lock-seed-1,1,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-86.0,141.0,56.0,0.524814,-1.101433,-0.576619
baseline-no-lock-seed-2,2,baseline_no_lock_seed_1_30,baseline-no-lock,2,fail,-214.5,707.0,311.0,2.348188,0.199074,2.547262
baseline-no-lock-seed-3,3,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-323.5,53.0,299.5,-1.300251,0.140424,-1.159826
baseline-no-lock-seed-4,4,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-232.0,140.0,266.5,-0.353895,-0.027877,-0.381772
baseline-no-lock-seed-5,5,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-537.5,139.0,28.0,-2.187559,-1.244234,-3.431793
baseline-no-lock-seed-6,6,baseline_no_lock_seed_1_30,baseline-no-lock,2,fail,-367.5,326.0,362.5,-0.313131,0.461726,0.148595
baseline-no-lock-seed-7,7,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-527.5,214.0,112.5,-1.784128,-0.813281,-2.59741
baseline-no-lock-seed-8,8,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-317.5,317.0,41.0,-0.054999,-1.177934,-1.232933
baseline-no-lock-seed-9,9,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-356.0,265.0,475.0,-0.523707,1.035479,0.511773
baseline-no-lock-seed-10,10,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-99.0,153.0,202.5,0.50195,-0.354279,0.147672
baseline-no-lock-seed-11,11,baseline_no_lock_seed_1_30,baseline-no-lock,2,fail,-335.5,301.0,433.5,-0.236061,0.823828,0.587767
baseline-no-lock-seed-12,12,baseline_no_lock_seed_1_30,baseline-no-lock,2,fail,-212.0,117.0,141.5,-0.339509,-0.665381,-1.00489
baseline-no-lock-seed-13,13,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-198.5,164.0,271.5,-0.043385,-0.002377,-0.045762
baseline-no-lock-seed-14,14,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-478.0,198.0,71.0,-1.561055,-1.024933,-2.585988
baseline-no-lock-seed-15,15,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-125.5,17.0,2.5,-0.279697,-1.374285,-1.653982
baseline-no-lock-seed-16,16,baseline_no_lock_seed_1_30,baseline-no-lock,0,fail,-439.5,480.0,276.5,-0.038767,0.023123,-0.015643
baseline-no-lock-seed-17,17,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-572.0,809.0,248.0,0.675012,-0.122227,0.552784
baseline-no-lock-seed-18,18,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-181.0,23.0,1.5,-0.584501,-1.379385,-1.963886
baseline-no-lock-seed-19,19,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-119.0,351.0,312.0,1.289203,0.204174,1.493377
baseline-no-lock-seed-20,20,baseline_no_lock_seed_1_30,baseline-no-lock,2,fail,-244.0,421.0,277.0,0.861461,0.025673,0.887134
baseline-no-lock-seed-21,21,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-333.0,11.0,362.5,-1.549522,0.461726,-1.087796
baseline-no-lock-seed-22,22,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-272.0,66.0,68.5,-0.93236,-1.037683,-1.970043
baseline-no-lock-seed-23,23,baseline_no_lock_seed_1_30,baseline-no-lock,2,fail,-453.5,230.0,527.0,-1.267784,1.300681,0.032897
baseline-no-lock-seed-24,24,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-465.0,97.0,409.5,-1.945882,0.701427,-1.244454
baseline-no-lock-seed-25,25,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-287.5,254.0,364.5,-0.163973,0.471926,0.307953
baseline-no-lock-seed-26,26,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-259.0,10.0,219.0,-1.111051,-0.270128,-1.38118
baseline-no-lock-seed-27,27,baseline_no_lock_seed_1_30,baseline-no-lock,2,fail,-270.5,400.0,381.5,0.606604,0.558627,1.16523
baseline-no-lock-seed-28,28,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-472.5,179.0,264.0,-1.615161,-0.040627,-1.655788
baseline-no-lock-seed-29,29,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-710.0,56.0,308.5,-3.600553,0.186324,-3.414229
baseline-no-lock-seed-30,30,baseline_no_lock_seed_1_30,baseline-no-lock,0,pass,-416.5,143.0,77.5,-1.444787,-0.991782,-2.43657
cntvaluein3-skew-locked-seed12-long-poll,12,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,0,fail,-378.0,350.0,121.5,-0.266058,-0.767381,-1.033439
cntvaluein3-skew-locked-seed16-long-poll,16,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,fail,-179.5,508.0,96.5,1.646162,-0.894882,0.75128
cntvaluein3-skew-locked-seed23-long-poll,23,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,fail,-170.0,419.0,544.0,1.29535,1.387381,2.682732
cntvaluein3-skew-locked-seed28-long-poll,28,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,fail,-288.5,538.0,692.5,1.130983,2.144736,3.275719
cntvaluein3-skew-locked-seed30-long-poll,30,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,fail,-194.0,69.0,21.0,-0.451618,-1.279934,-1.731552
cntvaluein3-skew-locked-seed1,1,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,pass,-256.0,325.0,472.0,0.349859,1.020179,1.370038
cntvaluein3-skew-locked-seed5,5,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,pass,-494.0,355.0,558.0,-0.937666,1.458782,0.521115
cntvaluein3-skew-locked-seed6,6,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,pass,-581.5,522.0,279.0,-0.696553,0.035874,-0.660679
cntvaluein3-skew-locked-seed11,11,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,pass,-302.0,146.0,285.0,-0.745513,0.066474,-0.679039
cntvaluein3-skew-locked-seed20,20,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,pass,-264.0,69.0,439.0,-0.870721,0.851878,-0.018842
cntvaluein3-skew-locked-seed27,27,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,pass,-329.0,629.0,37.5,1.305354,-1.195784,0.109571
baseline-no-lock-seed-31,31,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,fail,-375.0,80.0,168.5,-1.484909,-0.52768,-2.012589
cntvaluein3-skew-locked-seed-31,31,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-360.5,599.0,479.5,0.979335,1.058429,2.037764
baseline-no-lock-seed-32,32,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,fail,-117.0,145.0,94.0,0.357535,-0.907632,-0.550097
cntvaluein3-skew-locked-seed-32,32,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-337.5,162.0,684.5,-0.884765,2.103935,1.21917
baseline-no-lock-seed-33,33,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-243.0,105.0,81.5,-0.580082,-0.971382,-1.551464
