lane_mismatch_ps,dqs_dq_ps,ld_point_size,pass_lane_mismatch_ps,pass_dqs_dq_ps,pass_ld_size,fail_lane_mismatch_ps,fail_dqs_dq_ps,fail_ld_size,ld_cntvaluein_ps,seed,variant,abort_reason,experiment_id
-86.0,141.0,0.823474,-86.0,141.0,0.823474,,,,56.0,1,baseline-no-lock,0,baseline-no-lock-seed-1
-214.5,707.0,1.401196,,,,-214.5,707.0,1.401196,311.0,2,baseline-no-lock,2,baseline-no-lock-seed-2
-323.5,53.0,1.375142,-323.5,53.0,1.375142,,,,299.5,3,baseline-no-lock,0,baseline-no-lock-seed-3
-232.0,140.0,1.300378,-232.0,140.0,1.300378,,,,266.5,4,baseline-no-lock,0,baseline-no-lock-seed-4
-537.5,139.0,0.760038,-537.5,139.0,0.760038,,,,28.0,5,baseline-no-lock,0,baseline-no-lock-seed-5
-367.5,326.0,1.517873,,,,-367.5,326.0,1.517873,362.5,6,baseline-no-lock,2,baseline-no-lock-seed-6
-527.5,214.0,0.951479,-527.5,214.0,0.951479,,,,112.5,7,baseline-no-lock,0,baseline-no-lock-seed-7
-317.5,317.0,0.78949,-317.5,317.0,0.78949,,,,41.0,8,baseline-no-lock,0,baseline-no-lock-seed-8
-356.0,265.0,1.77275,-356.0,265.0,1.77275,,,,475.0,9,baseline-no-lock,0,baseline-no-lock-seed-9
-99.0,153.0,1.155381,-99.0,153.0,1.155381,,,,202.5,10,baseline-no-lock,0,baseline-no-lock-seed-10
-335.5,301.0,1.678729,,,,-335.5,301.0,1.678729,433.5,11,baseline-no-lock,2,baseline-no-lock-seed-11
-212.0,117.0,1.017181,,,,-212.0,117.0,1.017181,141.5,12,baseline-no-lock,2,baseline-no-lock-seed-12
-198.5,164.0,1.311705,-198.5,164.0,1.311705,,,,271.5,13,baseline-no-lock,0,baseline-no-lock-seed-13
-478.0,198.0,0.857458,-478.0,198.0,0.857458,,,,71.0,14,baseline-no-lock,0,baseline-no-lock-seed-14
-125.5,17.0,0.702266,-125.5,17.0,0.702266,,,,2.5,15,baseline-no-lock,0,baseline-no-lock-seed-15
-439.5,480.0,1.323033,,,,-439.5,480.0,1.323033,276.5,16,baseline-no-lock,0,baseline-no-lock-seed-16
-572.0,809.0,1.258464,-572.0,809.0,1.258464,,,,248.0,17,baseline-no-lock,0,baseline-no-lock-seed-17
-181.0,23.0,0.7,-181.0,23.0,0.7,,,,1.5,18,baseline-no-lock,0,baseline-no-lock-seed-18
-119.0,351.0,1.403461,-119.0,351.0,1.403461,,,,312.0,19,baseline-no-lock,0,baseline-no-lock-seed-19
