x,combined_score_z,pass_score,fail_score,status,seed,variant,abort_reason,experiment_id
0.92824,-0.576619,-0.576619,,pass,1,baseline-no-lock,0,baseline-no-lock-seed-1
1.93376,2.547262,,2.547262,fail,2,baseline-no-lock,2,baseline-no-lock-seed-2
0.93928,-1.159826,-1.159826,,pass,3,baseline-no-lock,0,baseline-no-lock-seed-3
0.9448,-0.381772,-0.381772,,pass,4,baseline-no-lock,0,baseline-no-lock-seed-4
0.95032,-3.431793,-3.431793,,pass,5,baseline-no-lock,0,baseline-no-lock-seed-5
1.95584,0.148595,,0.148595,fail,6,baseline-no-lock,2,baseline-no-lock-seed-6
0.96136,-2.59741,-2.59741,,pass,7,baseline-no-lock,0,baseline-no-lock-seed-7
0.96688,-1.232933,-1.232933,,pass,8,baseline-no-lock,0,baseline-no-lock-seed-8
0.9724,0.511773,0.511773,,pass,9,baseline-no-lock,0,baseline-no-lock-seed-9
0.96472,0.147672,0.147672,,pass,10,baseline-no-lock,0,baseline-no-lock-seed-10
1.97048,0.587767,,0.587767,fail,11,baseline-no-lock,2,baseline-no-lock-seed-11
1.97624,-1.00489,,-1.00489,fail,12,baseline-no-lock,2,baseline-no-lock-seed-12
0.982,-0.045762,-0.045762,,pass,13,baseline-no-lock,0,baseline-no-lock-seed-13
0.98776,-2.585988,-2.585988,,pass,14,baseline-no-lock,0,baseline-no-lock-seed-14
0.99352,-1.653982,-1.653982,,pass,15,baseline-no-lock,0,baseline-no-lock-seed-15
1.99928,-0.015643,,-0.015643,fail,16,baseline-no-lock,0,baseline-no-lock-seed-16
1.00504,0.552784,0.552784,,pass,17,baseline-no-lock,0,baseline-no-lock-seed-17
1.0108,-1.963886,-1.963886,,pass,18,baseline-no-lock,0,baseline-no-lock-seed-18
1.01656,1.493377,1.493377,,pass,19,baseline-no-lock,0,baseline-no-lock-seed-19
1.97024,0.887134,,0.887134,fail,20,baseline-no-lock,2,baseline-no-lock-seed-20
0.976,-1.087796,-1.087796,,pass,21,baseline-no-lock,0,baseline-no-lock-seed-21
0.98176,-1.970043,-1.970043,,pass,22,baseline-no-lock,0,baseline-no-lock-seed-22
1.98752,0.032897,,0.032897,fail,23,baseline-no-lock,2,baseline-no-lock-seed-23
0.99328,-1.244454,-1.244454,,pass,24,baseline-no-lock,0,baseline-no-lock-seed-24
0.99904,0.307953,0.307953,,pass,25,baseline-no-lock,0,baseline-no-lock-seed-25
1.0048,-1.38118,-1.38118,,pass,26,baseline-no-lock,0,baseline-no-lock-seed-26
2.01056,1.16523,,1.16523,fail,27,baseline-no-lock,2,baseline-no-lock-seed-27
1.01632,-1.655788,-1.655788,,pass,28,baseline-no-lock,0,baseline-no-lock-seed-28
1.02208,-3.414229,-3.414229,,pass,29,baseline-no-lock,0,baseline-no-lock-seed-29
0.97576,-2.43657,-2.43657,,pass,30,baseline-no-lock,0,baseline-no-lock-seed-30
1.98224,-1.033439,,-1.033439,fail,12,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed12-long-poll
2.01104,0.75128,,0.75128,fail,16,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed16-long-poll
1.9964,2.682732,,2.682732,fail,23,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed23-long-poll
2.0324,3.275719,,3.275719,fail,28,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed28-long-poll
1.98176,-1.731552,,-1.731552,fail,30,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed30-long-poll
1.01272,1.370038,1.370038,,pass,1,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed1
1.04056,0.521115,0.521115,,pass,5,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed5
1.04752,-0.660679,-0.660679,,pass,6,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed6
0.88552,-0.679039,-0.679039,,pass,11,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed11
0.88528,-0.018842,-0.018842,,pass,20,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed20
0.93568,0.109571,0.109571,,pass,27,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed27
