feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,14,16,-583.0,-284.0,0.0,-556.0,-193.0,33.0,91.0,-556.0,-616.0,0.752232,fail_higher,0.752232,0.504464,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,4,ld_vs_cntvaluein_dqs,14,16,-331.0,-137.5,761.0,-1041.0,204.5,1171.0,342.0,-1802.0,-1502.0,0.745536,fail_higher,0.745536,0.491071,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,4,dqs_vs_dq_bit,14,16,1.0,155.0,610.0,8.0,356.0,1219.0,201.0,-602.0,-1218.0,0.736607,fail_higher,0.736607,0.473214,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,4,dqs_vs_dq_bit,14,16,15.0,144.0,639.0,71.0,301.5,635.0,157.5,-568.0,-620.0,0.732143,fail_higher,0.732143,0.464286,overlap,0.0
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,2,ld_vs_cntvaluein_dq_lane,14,16,-799.5,-220.25,360.0,-645.0,157.5,835.5,377.75,-1005.0,-1635.0,0.727679,fail_higher,0.727679,0.455357,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,3,ld_vs_cntvaluein_dqs,14,16,13.0,94.5,1344.0,38.0,239.0,846.0,144.5,-1306.0,-833.0,0.723214,fail_higher,0.723214,0.446429,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,4,dqs_vs_dq_bit,14,16,31.0,231.5,651.0,0.0,473.0,1066.0,241.5,-651.0,-1035.0,0.716518,fail_higher,0.716518,0.433036,overlap,0.0
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,2,ld_vs_cntvaluein_dq_lane,14,16,-513.0,-29.25,448.0,-701.5,154.0,539.0,183.25,-1149.5,-1052.0,0.691964,fail_higher,0.691964,0.383929,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_4__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,4,dqs_vs_dq_lane,14,16,15.5,242.0,611.5,7.0,439.5,1108.0,197.5,-604.5,-1092.5,0.6875,fail_higher,0.6875,0.375,overlap,0.0
ld_dq_lane_range__idelay_ld_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,ld_dq_lane_range,idelay_ld_skew,lane1,,,dq_lane,14,16,175.0,237.0,610.0,240.0,350.5,732.0,113.5,-370.0,-557.0,0.6875,fail_higher,0.6875,0.375,overlap,0.0
