feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,0,dqs_vs_dq_bit,14,16,43.0,250.0,751.0,10.0,78.5,711.0,-171.5,-741.0,-668.0,0.214286,fail_lower,0.785714,-0.571429,overlap,0.0
abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,14,16,0.0,284.0,583.0,0.0,193.0,556.0,-91.0,-583.0,-556.0,0.252232,fail_lower,0.747768,-0.495536,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,0,dqs_vs_dq_bit,14,16,-837.0,12.0,856.0,-859.0,-314.0,185.0,-326.0,-1715.0,-1022.0,0.276786,fail_lower,0.723214,-0.446429,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,0,dqs_vs_dq_bit,14,16,21.0,247.0,746.0,20.0,119.5,716.0,-127.5,-726.0,-695.0,0.28125,fail_lower,0.71875,-0.4375,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,dqs_vs_dq_bit,14,16,-807.0,-25.5,777.0,-976.0,-315.5,192.0,-290.0,-1753.0,-999.0,0.285714,fail_lower,0.714286,-0.428571,overlap,0.0
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dqs,14,16,-356.0,-152.5,76.0,-583.0,-266.0,-15.0,-113.5,-659.0,-341.0,0.296875,fail_lower,0.703125,-0.40625,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,2,dq_lane,14,16,158.0,438.0,700.0,209.0,347.0,621.0,-91.0,-491.0,-463.0,0.301339,fail_lower,0.698661,-0.397321,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,dqs_vs_dq_bit,14,16,-750.0,80.0,888.0,-592.0,-251.0,456.0,-331.0,-1480.0,-1206.0,0.3125,fail_lower,0.6875,-0.375,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,0,dqs_vs_dq_bit,14,16,-661.0,166.5,895.0,-601.0,-145.5,540.0,-312.0,-1496.0,-1201.0,0.3125,fail_lower,0.6875,-0.375,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,0,dqs_vs_dq_bit,14,16,-806.0,-193.0,721.0,-901.0,-361.5,280.0,-168.5,-1622.0,-1086.0,0.319196,fail_lower,0.680804,-0.361607,overlap,0.0
