feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,0,dqs_vs_dq_bit,14,16,43.0,250.0,751.0,10.0,78.5,711.0,-171.5,-741.0,-668.0,0.214286,fail_lower,0.785714,-0.571429,overlap,0.0
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,14,16,-583.0,-284.0,0.0,-556.0,-193.0,33.0,91.0,-556.0,-616.0,0.752232,fail_higher,0.752232,0.504464,overlap,0.0
abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,14,16,0.0,284.0,583.0,0.0,193.0,556.0,-91.0,-583.0,-556.0,0.252232,fail_lower,0.747768,-0.495536,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,4,ld_vs_cntvaluein_dqs,14,16,-331.0,-137.5,761.0,-1041.0,204.5,1171.0,342.0,-1802.0,-1502.0,0.745536,fail_higher,0.745536,0.491071,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,4,dqs_vs_dq_bit,14,16,1.0,155.0,610.0,8.0,356.0,1219.0,201.0,-602.0,-1218.0,0.736607,fail_higher,0.736607,0.473214,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,4,dqs_vs_dq_bit,14,16,15.0,144.0,639.0,71.0,301.5,635.0,157.5,-568.0,-620.0,0.732143,fail_higher,0.732143,0.464286,overlap,0.0
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,2,ld_vs_cntvaluein_dq_lane,14,16,-799.5,-220.25,360.0,-645.0,157.5,835.5,377.75,-1005.0,-1635.0,0.727679,fail_higher,0.727679,0.455357,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,0,dqs_vs_dq_bit,14,16,-837.0,12.0,856.0,-859.0,-314.0,185.0,-326.0,-1715.0,-1022.0,0.276786,fail_lower,0.723214,-0.446429,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,3,ld_vs_cntvaluein_dqs,14,16,13.0,94.5,1344.0,38.0,239.0,846.0,144.5,-1306.0,-833.0,0.723214,fail_higher,0.723214,0.446429,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,0,dqs_vs_dq_bit,14,16,21.0,247.0,746.0,20.0,119.5,716.0,-127.5,-726.0,-695.0,0.28125,fail_lower,0.71875,-0.4375,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,4,dqs_vs_dq_bit,14,16,31.0,231.5,651.0,0.0,473.0,1066.0,241.5,-651.0,-1035.0,0.716518,fail_higher,0.716518,0.433036,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,dqs_vs_dq_bit,14,16,-807.0,-25.5,777.0,-976.0,-315.5,192.0,-290.0,-1753.0,-999.0,0.285714,fail_lower,0.714286,-0.428571,overlap,0.0
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dqs,14,16,-356.0,-152.5,76.0,-583.0,-266.0,-15.0,-113.5,-659.0,-341.0,0.296875,fail_lower,0.703125,-0.40625,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,2,dq_lane,14,16,158.0,438.0,700.0,209.0,347.0,621.0,-91.0,-491.0,-463.0,0.301339,fail_lower,0.698661,-0.397321,overlap,0.0
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,2,ld_vs_cntvaluein_dq_lane,14,16,-513.0,-29.25,448.0,-701.5,154.0,539.0,183.25,-1149.5,-1052.0,0.691964,fail_higher,0.691964,0.383929,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,dqs_vs_dq_bit,14,16,-750.0,80.0,888.0,-592.0,-251.0,456.0,-331.0,-1480.0,-1206.0,0.3125,fail_lower,0.6875,-0.375,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,0,dqs_vs_dq_bit,14,16,-661.0,166.5,895.0,-601.0,-145.5,540.0,-312.0,-1496.0,-1201.0,0.3125,fail_lower,0.6875,-0.375,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_4__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,4,dqs_vs_dq_lane,14,16,15.5,242.0,611.5,7.0,439.5,1108.0,197.5,-604.5,-1092.5,0.6875,fail_higher,0.6875,0.375,overlap,0.0
ld_dq_lane_range__idelay_ld_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,ld_dq_lane_range,idelay_ld_skew,lane1,,,dq_lane,14,16,175.0,237.0,610.0,240.0,350.5,732.0,113.5,-370.0,-557.0,0.6875,fail_higher,0.6875,0.375,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,2,dqs_vs_dq_bit,14,16,-970.0,-446.5,643.0,-651.0,-53.0,1014.0,393.5,-1294.0,-1984.0,0.683036,fail_higher,0.683036,0.366071,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,4,dqs_vs_dq_bit,14,16,62.0,255.5,825.0,38.0,439.5,1227.0,184.0,-787.0,-1165.0,0.683036,fail_higher,0.683036,0.366071,overlap,0.0
abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dqs,14,16,0.0,152.5,356.0,15.0,266.0,583.0,113.5,-341.0,-583.0,0.683036,fail_higher,0.683036,0.366071,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,0,dqs_vs_dq_bit,14,16,-806.0,-193.0,721.0,-901.0,-361.5,280.0,-168.5,-1622.0,-1086.0,0.319196,fail_lower,0.680804,-0.361607,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,4,dqs_vs_dq_bit,14,16,3.0,192.5,613.0,5.0,383.5,1132.0,191.0,-608.0,-1129.0,0.678571,fail_higher,0.678571,0.357143,overlap,0.0
dq_bus_skew_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_none__dq_lane_bus_skew__value_ps,dq_bus_skew_range,idelay_cntvaluein_skew,lane0,,,dq_lane_bus_skew,14,16,166.0,457.0,830.0,207.0,357.0,543.0,-100.0,-623.0,-377.0,0.321429,fail_lower,0.678571,-0.357143,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,0,dqs_vs_dq_bit,14,16,102.0,411.0,676.0,67.0,246.5,915.0,-164.5,-609.0,-813.0,0.323661,fail_lower,0.676339,-0.352679,overlap,0.0
