seed,hardware_transition,baseline_experiment_id,locked_experiment_id,baseline_pass,locked_pass,baseline_abort_reason,locked_abort_reason,locked_abort_reason_name,feature,metric,family,lane,bit,control_bit,scope,baseline_value_ps,locked_value_ps,delta_ps,baseline_abs_ps,locked_abs_ps,delta_abs_ps,baseline_sign,locked_sign,sign_flip,abs_improved,abs_worsened
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,275,-206.5,-481.5,275,206.5,-68.5,positive,negative,True,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,,dqs_vs_dq_bus_skew,384,-317,-701,384,317,-67,positive,negative,True,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,0,dqs_vs_dq_bit,-767,-569,198,767,569,-198,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,1,dqs_vs_dq_bit,673,82,-591,673,82,-591,positive,positive,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,2,dqs_vs_dq_bit,291,-619,-910,291,619,328,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,3,dqs_vs_dq_bit,275,-364,-639,275,364,89,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,4,dqs_vs_dq_bit,-458,-659,-201,458,659,201,negative,negative,False,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,-904,-628,276,904,628,-276,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,1,dqs_vs_dq_bit,753,58,-695,753,58,-695,positive,positive,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,dqs_vs_dq_bit,372,-610,-982,372,610,238,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,3,dqs_vs_dq_bit,184,-327,-511,184,327,143,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,4,dqs_vs_dq_bit,-408,-531,-123,408,531,123,negative,negative,False,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,0,dqs_vs_dq_bit,-901,-711,190,901,711,-190,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,1,dqs_vs_dq_bit,788,214,-574,788,214,-574,positive,positive,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,2,dqs_vs_dq_bit,104,-693,-797,104,693,589,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,3,dqs_vs_dq_bit,283,-420,-703,283,420,137,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,4,dqs_vs_dq_bit,-502,-615,-113,502,615,113,negative,negative,False,False,True
