feature,metric,family,lane,bit,control_bit,scope,n_total,sign_flip_total,abs_improved_total,abs_worsened_total,fail_to_pass_n,fail_to_pass_median_delta_ps,fail_to_pass_median_delta_abs_ps,fail_to_pass_sign_flip_count,fail_to_pass_abs_improved_count,fail_to_pass_abs_worsened_count,fail_to_fail_n,fail_to_fail_median_delta_ps,fail_to_fail_median_delta_abs_ps,fail_to_fail_sign_flip_count,fail_to_fail_abs_improved_count,fail_to_fail_abs_worsened_count,pass_to_fail_n,pass_to_fail_median_delta_ps,pass_to_fail_median_delta_abs_ps,pass_to_fail_sign_flip_count,pass_to_fail_abs_improved_count,pass_to_fail_abs_worsened_count,pass_to_pass_n,pass_to_pass_median_delta_ps,pass_to_pass_median_delta_abs_ps,pass_to_pass_sign_flip_count,pass_to_pass_abs_improved_count,pass_to_pass_abs_worsened_count,passfail_minus_failpass_median_delta_ps,passfail_minus_failpass_sign_flip_rate,contrast_score
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,dqs_vs_dq_bit,30,13,16,14,13,240,-178,6,9,4,3,-123,123,0,1,2,8,-576.5,10.5,3,4,4,6,167.5,98,4,2,4,-816.5,-0.086538,825.1538
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,2,dqs_vs_dq_bit,30,15,17,13,13,-229,208,7,4,9,3,-559,-33,3,2,1,8,551.5,-192.5,2,7,1,6,-31.5,-245.5,3,4,2,780.5,-0.288462,809.3462
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,0,dqs_vs_dq_bit,30,16,18,12,13,323,-22,8,7,6,3,27,-27,1,2,1,8,-462,-239,4,6,2,6,264.5,6.5,3,3,3,-785,-0.115385,796.5385
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,dqs_vs_dq_bit,30,16,19,11,13,-292,76,7,5,8,3,-336,-46,3,2,1,8,448.5,-259,3,8,0,6,216.5,-46.5,3,4,2,740.5,-0.163462,756.8462
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,2,dqs_vs_dq_bit,30,16,19,11,13,-318,76,7,6,7,3,-199,-15,3,2,1,8,374,-322,2,6,2,6,54.5,-134.5,4,5,1,692,-0.288462,720.8462
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,dqs_vs_dq_bit,30,16,19,11,13,208,-150,7,11,2,3,-2,2,1,1,2,8,-505.5,-319.5,4,6,2,6,247,101,4,1,5,-713.5,-0.038462,717.3462
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,0,dqs_vs_dq_bit,30,10,17,13,13,190,-150,3,10,3,3,-64,64,0,1,2,8,-480,-29.5,3,4,4,6,334.5,173,4,2,4,-670,0.144231,684.4231
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_2__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,2,dqs_vs_dq_lane,30,16,20,10,13,-241,66,7,6,7,3,-383,-146,3,2,1,8,378.75,-202.25,2,7,1,6,53,-161.25,4,5,1,619.75,-0.288462,648.5962
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,0,dqs_vs_dq_lane,30,13,17,13,13,161,-76.5,7,8,5,3,169,-169,0,3,0,8,-453.25,-21,2,4,4,6,225,60,4,2,4,-614.25,-0.288462,643.0962
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,dqs_vs_dq_bit,30,12,20,10,13,131,-45,5,9,4,3,189,-189,0,3,0,8,-490.5,-84.5,2,5,3,6,309,-26,5,3,3,-621.5,-0.134615,634.9615
