feature_a,feature_b,n_pass,n_fail,auc_pair_score_fail_higher,auc_best,fail_minus_pass_median_score
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_4__dqs_vs_dq_bit__value_ps,dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,19,11,0.880383,0.880383,376.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_1__dqs_vs_dq_lane__value_ps,19,11,0.880383,0.880383,247.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_1__dqs_vs_dq_bit__value_ps,19,11,0.875598,0.875598,228.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_1__dqs_vs_dq_bit__value_ps,19,11,0.861244,0.861244,320.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_1__dqs_vs_dq_bit__value_ps,19,11,0.851675,0.851675,304.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,19,11,0.851675,0.851675,280.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_4__dqs_vs_dq_bit__value_ps,19,11,0.84689,0.84689,413.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_4__dqs_vs_dq_bit__value_ps,ld_dq_lane_range__idelay_ld_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,19,11,0.84689,0.84689,370.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_1__dqs_vs_dq_bit__value_ps,19,11,0.84689,0.84689,303.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_4__dqs_vs_dq_bit__value_ps,19,11,0.842105,0.842105,498.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,19,11,0.832536,0.832536,589.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_4__dqs_vs_dq_lane__value_ps,19,11,0.832536,0.832536,366.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_4__dqs_vs_dq_bit__value_ps,19,11,0.832536,0.832536,308.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,19,11,0.822967,0.822967,504.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_4__dqs_vs_dq_bit__value_ps,19,11,0.822967,0.822967,473.0
