stratum,value,total,pass,fail,unknown
metrics_group,seed-31-60-cntvaluein3-lock,30,19,11,0
run_group,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,30,19,11,0
variant,cntvaluein3-skew-locked,30,19,11,0
payload_version,3,30,19,11,0
seed,31,1,1,0,0
seed,32,1,1,0,0
seed,33,1,0,1,0
seed,34,1,1,0,0
seed,35,1,1,0,0
seed,36,1,0,1,0
seed,37,1,1,0,0
seed,38,1,1,0,0
seed,39,1,0,1,0
seed,40,1,1,0,0
seed,41,1,0,1,0
seed,42,1,1,0,0
seed,43,1,1,0,0
seed,44,1,1,0,0
seed,45,1,0,1,0
seed,46,1,1,0,0
seed,47,1,1,0,0
seed,48,1,0,1,0
seed,49,1,1,0,0
seed,50,1,0,1,0
seed,51,1,0,1,0
seed,52,1,0,1,0
seed,53,1,0,1,0
seed,54,1,1,0,0
seed,55,1,1,0,0
seed,56,1,1,0,0
seed,57,1,1,0,0
seed,58,1,1,0,0
seed,59,1,1,0,0
seed,60,1,0,1,0
metric_status,fail,11,0,11,0
metric_status,pass,19,19,0,0
abort_reason_name,check_starting_data_search_exhausted,9,0,9,0
abort_reason_name,none,21,19,2,0
abort_lane,0,30,19,11,0
