feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,2,dq_lane,19,11,260.0,342.0,505.0,206.0,558.0,890.0,216.0,-299.0,-630.0,0.77512,fail_higher,0.77512,0.550239,overlap,0.0
ld_dq_lane_range__idelay_ld_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,ld_dq_lane_range,idelay_ld_skew,lane1,,,dq_lane,19,11,199.0,319.0,518.0,107.0,429.0,626.0,110.0,-411.0,-427.0,0.727273,fail_higher,0.727273,0.454545,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,3,ld_vs_cntvaluein_dqs,19,11,18.0,322.0,943.0,261.0,462.0,1019.0,140.0,-682.0,-1001.0,0.681818,fail_higher,0.681818,0.363636,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,4,dqs_vs_dq_bit,19,11,-697.0,-199.0,811.0,-447.0,-31.0,686.0,168.0,-1258.0,-1383.0,0.679426,fail_higher,0.679426,0.358852,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,4,dqs_vs_dq_bit,19,11,-541.0,-270.0,804.0,-356.0,-24.0,561.0,246.0,-1160.0,-1102.0,0.674641,fail_higher,0.674641,0.349282,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,4,dqs_vs_dq_bit,19,11,-625.0,-320.0,954.0,-402.0,-36.0,561.0,284.0,-1356.0,-1186.0,0.672249,fail_higher,0.672249,0.344498,overlap,0.0
signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,19,11,-979.0,-155.0,768.5,-386.5,74.5,726.0,229.5,-1155.0,-1705.0,0.669856,fail_higher,0.669856,0.339713,overlap,0.0
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,19,11,-631.5,-337.5,142.5,-428.0,-273.5,297.5,64.0,-570.5,-929.0,0.669856,fail_higher,0.669856,0.339713,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,4,dqs_vs_dq_bit,19,11,-957.0,-380.0,540.0,-474.0,-128.0,472.0,252.0,-1014.0,-1429.0,0.665072,fail_higher,0.665072,0.330144,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_2__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,2,ld_vs_cntvaluein_dqs,19,11,17.0,193.0,633.0,58.0,385.0,974.0,192.0,-575.0,-957.0,0.665072,fail_higher,0.665072,0.330144,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,4,dqs_vs_dq_bit,19,11,-684.0,-82.0,870.0,-321.0,132.0,455.0,214.0,-1191.0,-1139.0,0.660287,fail_higher,0.660287,0.320574,overlap,0.0
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_4__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,4,dqs_vs_dq_lane,19,11,-906.0,-294.5,596.5,-470.0,-117.5,336.0,177.0,-1066.5,-1242.0,0.660287,fail_higher,0.660287,0.320574,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,4,dqs_vs_dq_bit,19,11,-717.0,80.0,894.0,-234.0,238.0,462.0,158.0,-1128.0,-1179.0,0.65311,fail_higher,0.65311,0.30622,overlap,0.0
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_3__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,3,lane1_vs_lane0_dq,19,11,-614.0,-345.5,-52.0,-549.0,-231.5,106.0,114.0,-497.0,-720.0,0.648325,fail_higher,0.648325,0.296651,overlap,0.0
