feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,4,dqs_vs_dq_bit,19,11,66.0,431.0,949.0,41.0,179.0,466.0,-252.0,-908.0,-400.0,0.191388,fail_lower,0.808612,-0.617225,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,4,dqs_vs_dq_bit,19,11,28.0,355.0,1041.0,31.0,143.0,561.0,-212.0,-1010.0,-533.0,0.239234,fail_lower,0.760766,-0.521531,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,1,dqs_vs_dq_bit,19,11,7.0,139.0,1059.0,13.0,69.0,360.0,-70.0,-1046.0,-353.0,0.248804,fail_lower,0.751196,-0.502392,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_4__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,4,dqs_vs_dq_lane,19,11,72.5,345.5,906.0,60.0,193.5,470.0,-152.0,-846.0,-397.5,0.253589,fail_lower,0.746411,-0.492823,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,4,dqs_vs_dq_bit,19,11,16.0,362.0,863.0,31.0,227.0,390.0,-135.0,-832.0,-374.0,0.253589,fail_lower,0.746411,-0.492823,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,4,dqs_vs_dq_bit,19,11,12.0,464.0,957.0,56.0,186.0,474.0,-278.0,-901.0,-462.0,0.267943,fail_lower,0.732057,-0.464115,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,4,dqs_vs_dq_bit,19,11,0.0,421.0,811.0,18.0,175.0,686.0,-246.0,-793.0,-686.0,0.267943,fail_lower,0.732057,-0.464115,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,4,dqs_vs_dq_bit,19,11,25.0,317.0,804.0,2.0,160.0,561.0,-157.0,-802.0,-536.0,0.267943,fail_lower,0.732057,-0.464115,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,1,ld_vs_cntvaluein_dq_lane,19,11,41.5,356.5,773.0,37.0,186.5,998.5,-170.0,-736.0,-957.0,0.27512,fail_lower,0.72488,-0.449761,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,4,dqs_vs_dq_bit,19,11,35.0,340.0,954.0,8.0,214.0,561.0,-126.0,-946.0,-526.0,0.279904,fail_lower,0.720096,-0.440191,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,1,dqs_vs_dq_bit,19,11,7.0,235.0,1045.0,3.0,102.0,246.0,-133.0,-1042.0,-239.0,0.282297,fail_lower,0.717703,-0.435407,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,1,dqs_vs_dq_bit,19,11,28.0,309.0,954.0,7.0,117.0,354.0,-192.0,-947.0,-326.0,0.296651,fail_lower,0.703349,-0.406699,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,2,dqs_vs_dq_bit,19,11,-895.0,61.0,1159.0,-836.0,-343.0,17.0,-404.0,-1995.0,-912.0,0.299043,fail_lower,0.700957,-0.401914,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,dqs_vs_dq_bit,19,11,-577.0,-28.0,547.0,-934.0,-204.0,68.0,-176.0,-1481.0,-645.0,0.311005,fail_lower,0.688995,-0.37799,overlap,0.0
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,0,dqs_vs_dq_lane,19,11,-607.5,-96.5,547.5,-834.5,-179.0,94.5,-82.5,-1382.0,-702.0,0.315789,fail_lower,0.684211,-0.368421,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_1__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,1,dqs_vs_dq_lane,19,11,1.5,203.5,912.0,13.0,178.0,278.0,-25.5,-899.0,-276.5,0.315789,fail_lower,0.684211,-0.368421,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,3,ld_vs_cntvaluein_dqs,19,11,-943.0,-322.0,28.0,-1019.0,-462.0,-261.0,-140.0,-1047.0,-682.0,0.318182,fail_lower,0.681818,-0.363636,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,2,dqs_vs_dq_bit,19,11,-834.0,-64.0,1072.0,-813.0,-179.0,71.0,-115.0,-1885.0,-905.0,0.320574,fail_lower,0.679426,-0.358852,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,1,dqs_vs_dq_bit,19,11,19.0,240.0,839.0,2.0,154.0,495.0,-86.0,-837.0,-476.0,0.320574,fail_lower,0.679426,-0.358852,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,4,dq_lane,19,11,180.0,437.0,733.0,145.0,363.0,563.0,-74.0,-588.0,-383.0,0.320574,fail_lower,0.679426,-0.358852,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,4,dqs_vs_dq_bit,19,11,0.0,385.0,1126.0,88.0,198.0,650.0,-187.0,-1038.0,-650.0,0.325359,fail_lower,0.674641,-0.349282,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,0,dqs_vs_dq_bit,19,11,-875.0,64.0,685.0,-785.0,-135.0,328.0,-199.0,-1470.0,-1203.0,0.332536,fail_lower,0.667464,-0.334928,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_2__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,2,dq_lane,19,11,194.0,346.0,632.0,174.0,310.0,530.0,-36.0,-458.0,-336.0,0.332536,fail_lower,0.667464,-0.334928,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,2,dqs_vs_dq_bit,19,11,-744.0,-37.0,984.0,-885.0,-259.0,132.0,-222.0,-1869.0,-876.0,0.334928,fail_lower,0.665072,-0.330144,overlap,0.0
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_2__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,2,dqs_vs_dq_lane,19,11,-853.0,58.5,1070.0,-816.0,-68.5,148.0,-127.0,-1886.0,-1001.0,0.334928,fail_lower,0.665072,-0.330144,overlap,0.0
